Entity,Code,Year,Share of the population with access to a handwashing facility with soap and water at home (basic hygiene service) - Residence: Total
China,CHN,2018,97.074554
China,CHN,2020,97.14284
China,CHN,2022,97.206795
India,IND,2010,59.33858
India,IND,2012,59.5346
India,IND,2014,59.74343
India,IND,2016,63.922287
India,IND,2018,68.07149
India,IND,2020,72.18677
India,IND,2022,76.26479
World,OWID_WRL,2012,64.14069
World,OWID_WRL,2014,65.54319
World,OWID_WRL,2016,67.77584
World,OWID_WRL,2018,74.5033
World,OWID_WRL,2020,75.3951
World,OWID_WRL,2022,75.15373
