Entity,Code,Year,Pupil-qualified teacher ratio in primary education (headcount basis)
Arab World (WB),,2012,20.78995
Arab World (WB),,2013,21.69741
Arab World (WB),,2014,20.6652
Arab World (WB),,2015,20.99275
Arab World (WB),,2016,21.43834
Arab World (WB),,2017,21.97885
Arab World (WB),,2018,22.27469
Arab World (WB),,2019,22.29532
East Asia and the Pacific (WB),,2014,18.17479
East Asia and the Pacific (WB),,2015,18.21124
East Asia and the Pacific (WB),,2016,18.18706
East Asia and the Pacific (WB),,2017,18.57368
East Asia and the Pacific (WB),,2018,18.33531
East Asia and the Pacific (WB),,2019,18.33422
Middle East and North Africa (WB),,2012,20.42629
Middle East and North Africa (WB),,2013,21.70803
Middle East and North Africa (WB),,2014,20.72641
Middle East and North Africa (WB),,2015,21.10556
Middle East and North Africa (WB),,2016,21.61611
Middle East and North Africa (WB),,2017,22.22509
Middle East and North Africa (WB),,2018,22.60862
Middle East and North Africa (WB),,2019,22.62078
South Asia (WB),,2015,38.38763
South Asia (WB),,2016,39.79113
South Asia (WB),,2017,36.94494
South Asia (WB),,2018,32.75004
South Asia (WB),,2019,32.22553
Sub-Saharan Africa (WB),,2012,50.59442
Sub-Saharan Africa (WB),,2013,50.49378
Sub-Saharan Africa (WB),,2014,48.56702
Sub-Saharan Africa (WB),,2015,46.92451
Sub-Saharan Africa (WB),,2016,46.64847
Sub-Saharan Africa (WB),,2017,46.66143
Sub-Saharan Africa (WB),,2018,46.31453
Sub-Saharan Africa (WB),,2019,47.25359
