Entity,Code,Year,Business/Personal Ratio of Purpose of Travel
Djibouti,DJI,2021,0.91764706
Georgia,GEO,2015,0.11301696
Guinea-Bissau,GNB,2005,0.5625
New Caledonia,NCL,1995,0.116883114
New Caledonia,NCL,2000,0.12871288
New Caledonia,NCL,2005,0.13483146
New Caledonia,NCL,2010,0.2375
New Caledonia,NCL,2015,0.15151516
New Caledonia,NCL,2021,0.24
Papua New Guinea,PNG,1995,1.0
Papua New Guinea,PNG,2000,1.7619047
Papua New Guinea,PNG,2005,1.875
Papua New Guinea,PNG,2010,2.5365853
Papua New Guinea,PNG,2015,1.779021
Papua New Guinea,PNG,2021,8.333333
