Entity,Code,Year,Historical_share_below_5_per_day
E. Asia and Pacific excl. China,,1820,86.6653982697766
E. Asia and Pacific excl. China,,1850,87.983720391077
E. Asia and Pacific excl. China,,1950,66.9915854146474
E. Asia and Pacific excl. China,,2000,25.4190123392959
E. Asia and Pacific excl. China,,2017,9.89319523965714
East Asia and Pacific,,1820,89.4327501054629
East Asia and Pacific,,1850,92.904610669107
East Asia and Pacific,,1950,85.275490690638
East Asia and Pacific,,2000,30.9415849291642
East Asia and Pacific,,2017,8.84222383206312
Latin America and the Caribbean,,1820,88.9110079688806
Latin America and the Caribbean,,1850,87.3538415504853
Latin America and the Caribbean,,1950,42.1169399166111
Latin America and the Caribbean,,2000,16.6079755246834
Latin America and the Caribbean,,2017,5.17270399115908
Middle East and North Africa,,1820,89.9183698814419
Middle East and North Africa,,1850,87.9408004307594
Middle East and North Africa,,1950,60.094943748568
Middle East and North Africa,,2000,28.0622754192879
Middle East and North Africa,,2017,16.0826663788031
South Asia,,1820,92.9326007482668
South Asia,,1850,91.0055967175831
South Asia,,1950,89.5024478968371
South Asia,,2000,49.0154240086217
South Asia,,2017,16.269720069744
Sub-Saharan Africa,,1820,90.320805959808
Sub-Saharan Africa,,1850,92.979154327898
Sub-Saharan Africa,,1950,81.0518899719264
Sub-Saharan Africa,,2000,74.5055066953111
Sub-Saharan Africa,,2017,56.4745957886003
Western Europe,,1820,67.0126334302391
Western Europe,,1850,52.3179172063645
Western Europe,,1950,12.2687814709598
Western Europe,,2000,0.0030827248649628
Western Europe,,2017,0.001678581980878
Western Offshoots,,1820,61.0347817012701
Western Offshoots,,1850,34.8640658080847
Western Offshoots,,1950,0.582802398961378
Western Offshoots,,2000,0.0057245268623378
Western Offshoots,,2017,0.0103101514519422
