Entity,Code,Year,50% of the median - Share of population in poverty
Belgium,BEL,1995,8.370786
Belgium,BEL,2000,6.9550104
Belgium,BEL,2005,8.53758
Belgium,BEL,2010,9.628134
Belgium,BEL,2015,10.45159
Belgium,BEL,2020,7.895737
Bolivia,BOL,2000,29.6455
Bolivia,BOL,2005,26.178383
Bolivia,BOL,2015,21.253235
Bolivia,BOL,2020,17.928818
Denmark,DNK,1995,4.247055
Denmark,DNK,2000,4.4975686
Denmark,DNK,2005,5.943803
Denmark,DNK,2010,6.991189
Denmark,DNK,2015,6.0237384
Denmark,DNK,2020,6.77433
Indonesia,IDN,1984,8.429514
Indonesia,IDN,1990,6.428671
Indonesia,IDN,2000,4.326587
Indonesia,IDN,2005,7.2708344
Indonesia,IDN,2010,9.436689
Indonesia,IDN,2015,10.132497
Indonesia,IDN,2020,11.784101
Indonesia,IDN,2022,9.877516
Iran,IRN,1990,18.634205
Iran,IRN,2005,17.452848
Iran,IRN,2015,13.969581
