Entity,Code,Year,10.c.1 - Average remittance costs of sending $200 for a sending country as a proportion of the amount remitted (%) - SI_RMT_COST_SND
Australia,AUS,2011,13.64
Australia,AUS,2018,7.77
Australia,AUS,2020,7.21
Australia,AUS,2021,7.25
Canada,CAN,2011,11.87
Canada,CAN,2018,8.02
Canada,CAN,2020,6.27
Canada,CAN,2021,6.6
France,FRA,2011,11.63
France,FRA,2018,6.53
France,FRA,2020,6.3
France,FRA,2021,6.21
Germany,DEU,2011,12.64
Germany,DEU,2018,7.31
Germany,DEU,2020,7.47
Germany,DEU,2021,6.37
Italy,ITA,2011,8.18
Italy,ITA,2018,6.08
Italy,ITA,2020,6.15
Italy,ITA,2021,4.76
Japan,JPN,2011,16.84
Japan,JPN,2018,9.58
Japan,JPN,2020,10.58
Japan,JPN,2021,7.95
Russia,RUS,2011,2.68
Russia,RUS,2018,1.85
Russia,RUS,2020,1.94
Russia,RUS,2021,2.93
Spain,ESP,2011,6.63
Spain,ESP,2018,5.64
Spain,ESP,2020,5.03
Spain,ESP,2021,5.16
United Kingdom,GBR,2011,7.73
United Kingdom,GBR,2018,7.08
United Kingdom,GBR,2020,6.57
United Kingdom,GBR,2021,6.06
United States,USA,2011,6.93
United States,USA,2018,5.42
United States,USA,2020,5.14
United States,USA,2021,5.61
