Entity,Code,Year,"16.7.1 - Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral - SG_DMK_PARLMP_LC"
Guinea,GIN,2021,0.31
Guinea,GIN,2022,1.31
Guinea,GIN,2023,0.57
Least Developed Countries (LDCs),,2021,0.48
Least Developed Countries (LDCs),,2022,0.51
Least Developed Countries (LDCs),,2023,0.51
South Sudan,SSD,2021,0.56
South Sudan,SSD,2022,0.64
South Sudan,SSD,2023,0.62
Trinidad and Tobago,TTO,2021,0.51
Trinidad and Tobago,TTO,2022,0.51
Trinidad and Tobago,TTO,2023,0.56
Yemen,YEM,2021,0.01
Yemen,YEM,2022,0.0
Yemen,YEM,2023,0.0
