Entity,Code,Year,Sesame seed | 00000289 || Production | 005510 || tonnes
Haiti,HTI,1961,220.0
Haiti,HTI,1970,800.0
Haiti,HTI,1980,4000.0
Haiti,HTI,1990,4000.0
Haiti,HTI,2000,3800.0
Haiti,HTI,2010,4069.59
Haiti,HTI,2021,4142.37
Panama,PAN,1961,183.0
Panama,PAN,1970,109.0
Panama,PAN,1980,100.0
Panama,PAN,1990,200.0
Panama,PAN,2000,204.83
Panama,PAN,2010,223.34
Panama,PAN,2021,247.52
Syria,SYR,1961,4200.0
Syria,SYR,1970,2840.0
Syria,SYR,1980,24778.0
Syria,SYR,1990,8200.0
Syria,SYR,2000,3958.0
Syria,SYR,2010,4857.0
Syria,SYR,2021,11591.23
Thailand,THA,1961,12400.0
Thailand,THA,1970,20200.0
Thailand,THA,1980,27100.0
Thailand,THA,1990,29200.0
Thailand,THA,2000,38780.0
Thailand,THA,2010,47542.0
Thailand,THA,2021,31000.0
USSR,OWID_USS,1961,300.0
USSR,OWID_USS,1970,100.0
USSR,OWID_USS,1980,100.0
USSR,OWID_USS,1990,110.0
