Entity,Code,Year,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)"
Djibouti,DJI,1990,100.0
Djibouti,DJI,1995,100.0
Djibouti,DJI,2000,100.0
Djibouti,DJI,2005,100.0
Djibouti,DJI,2010,100.0
Djibouti,DJI,2015,100.0
Djibouti,DJI,2017,100.0
Georgia,GEO,1990,100.0
Georgia,GEO,1995,100.0
Georgia,GEO,2000,100.0
Georgia,GEO,2005,100.0
Georgia,GEO,2010,100.0
Georgia,GEO,2015,100.0
Georgia,GEO,2017,100.0
Germany,DEU,1990,99.75579
Germany,DEU,1995,99.64661
Germany,DEU,2000,99.40719
Germany,DEU,2005,99.18486
Germany,DEU,2010,99.59944
Germany,DEU,2015,95.9526
Germany,DEU,2017,89.174355
Iraq,IRQ,1990,100.0
Iraq,IRQ,1995,100.0
Iraq,IRQ,2000,100.0
Iraq,IRQ,2005,100.0
Iraq,IRQ,2010,100.0
Iraq,IRQ,2015,100.0
Iraq,IRQ,2017,100.0
Japan,JPN,1990,92.52875
Japan,JPN,1995,92.50627
Japan,JPN,2000,91.74729
Japan,JPN,2005,92.09008
Japan,JPN,2010,92.58883
Japan,JPN,2015,88.66865
Japan,JPN,2017,76.761505
Tanzania,TZA,1990,100.0
Tanzania,TZA,1995,100.0
Tanzania,TZA,2000,100.0
Tanzania,TZA,2005,100.0
Tanzania,TZA,2010,100.0
Tanzania,TZA,2015,100.0
Tanzania,TZA,2017,100.0
