Entity,Code,Year,"Share of total deaths that are from all causes attributed to household air pollution from solid fuels, in both sexes aged age-standardized"
Afghanistan,AFG,1990,19.623001
Afghanistan,AFG,1995,19.602535
Afghanistan,AFG,2000,19.818674
Afghanistan,AFG,2005,19.562376
Afghanistan,AFG,2010,17.40069
Afghanistan,AFG,2015,14.488496
Afghanistan,AFG,2019,12.510843
Benin,BEN,1990,15.355242
Benin,BEN,1995,14.741633
Benin,BEN,2000,13.701714
Benin,BEN,2005,13.177234
Benin,BEN,2010,13.3493
Benin,BEN,2015,12.68681
Benin,BEN,2019,12.117103
Democratic Republic of Congo,COD,1990,13.993414
Democratic Republic of Congo,COD,1995,13.279942
Democratic Republic of Congo,COD,2000,13.233047
Democratic Republic of Congo,COD,2005,13.886605
Democratic Republic of Congo,COD,2010,14.047262
Democratic Republic of Congo,COD,2015,13.302645
Democratic Republic of Congo,COD,2019,12.862116
Eritrea,ERI,1990,10.170925
Eritrea,ERI,1995,11.6605625
Eritrea,ERI,2000,10.563396
Eritrea,ERI,2005,11.003444
Eritrea,ERI,2010,11.240433
Eritrea,ERI,2015,10.968616
Eritrea,ERI,2019,10.238264
Philippines,PHL,1990,9.541369
Philippines,PHL,1995,8.509283
Philippines,PHL,2000,8.605745
Philippines,PHL,2005,9.558451
Philippines,PHL,2010,10.380845
Philippines,PHL,2015,8.326419
Philippines,PHL,2019,7.0167475
Syria,SYR,1990,1.8977519
Syria,SYR,1995,0.84161127
Syria,SYR,2000,0.3571362
Syria,SYR,2005,0.14580001
Syria,SYR,2010,0.05731023
Syria,SYR,2015,0.020552762
Syria,SYR,2019,0.019176932
United States,USA,1990,0.016947452
United States,USA,1995,0.014141898
United States,USA,2000,0.013028267
United States,USA,2005,0.010542154
United States,USA,2010,0.00787863
United States,USA,2015,0.005879417
United States,USA,2019,0.005065847
