Entity,Code,Year,"Share of total deaths that are from all causes attributed to secondhand smoke, in both sexes aged age-standardized"
African Region (WHO),,1990,1.010178
African Region (WHO),,1995,0.96164614
African Region (WHO),,2000,0.9193659
African Region (WHO),,2005,0.91038346
African Region (WHO),,2010,0.97623813
African Region (WHO),,2015,1.0456717
African Region (WHO),,2019,1.0739769
Eastern Mediterranean Region (WHO),,1990,2.7441704
Eastern Mediterranean Region (WHO),,1995,2.800781
Eastern Mediterranean Region (WHO),,2000,2.8034968
Eastern Mediterranean Region (WHO),,2005,2.7424922
Eastern Mediterranean Region (WHO),,2010,2.7587106
Eastern Mediterranean Region (WHO),,2015,2.6790857
Eastern Mediterranean Region (WHO),,2019,2.7355943
European Region (WHO),,1990,2.4501421
European Region (WHO),,1995,2.3251863
European Region (WHO),,2000,2.2205486
European Region (WHO),,2005,2.1254709
European Region (WHO),,2010,1.9881603
European Region (WHO),,2015,1.8652833
European Region (WHO),,2019,1.8513634
Region of the Americas (WHO),,1990,2.1562479
Region of the Americas (WHO),,1995,2.0253575
Region of the Americas (WHO),,2000,1.8256482
Region of the Americas (WHO),,2005,1.6177051
Region of the Americas (WHO),,2010,1.4270821
Region of the Americas (WHO),,2015,1.4212477
Region of the Americas (WHO),,2019,1.4471704
South-East Asia Region (WHO),,1990,2.2868695
South-East Asia Region (WHO),,1995,2.3142827
South-East Asia Region (WHO),,2000,2.3272903
South-East Asia Region (WHO),,2005,2.3409917
South-East Asia Region (WHO),,2010,2.3861651
South-East Asia Region (WHO),,2015,2.585434
South-East Asia Region (WHO),,2019,2.6700246
Western Pacific Region (WHO),,1990,4.43986
Western Pacific Region (WHO),,1995,4.351566
Western Pacific Region (WHO),,2000,4.018192
Western Pacific Region (WHO),,2005,3.7337687
Western Pacific Region (WHO),,2010,3.5113096
Western Pacific Region (WHO),,2015,3.3496487
Western Pacific Region (WHO),,2019,3.33131
World,OWID_WRL,1990,2.5820284
World,OWID_WRL,1995,2.4974656
World,OWID_WRL,2000,2.3581889
World,OWID_WRL,2005,2.2677112
World,OWID_WRL,2010,2.2042708
World,OWID_WRL,2015,2.2062573
World,OWID_WRL,2019,2.251409
