Entity,Code,Year,"Share of total deaths that are from all causes attributed to unsafe sanitation, in both sexes aged age-standardized"
East Asia & Pacific (WB),,1990,1.317578
East Asia & Pacific (WB),,1995,1.0185969
East Asia & Pacific (WB),,2000,0.7528836
East Asia & Pacific (WB),,2005,0.54388595
East Asia & Pacific (WB),,2010,0.37538522
East Asia & Pacific (WB),,2015,0.2616956
East Asia & Pacific (WB),,2019,0.19831586
Europe & Central Asia (WB),,1990,0.19629712
Europe & Central Asia (WB),,1995,0.17668334
Europe & Central Asia (WB),,2000,0.122603975
Europe & Central Asia (WB),,2005,0.057012174
Europe & Central Asia (WB),,2010,0.042512435
Europe & Central Asia (WB),,2015,0.033699784
Europe & Central Asia (WB),,2019,0.029547827
Latin America & Caribbean (WB),,1990,1.4734551
Latin America & Caribbean (WB),,1995,1.0755562
Latin America & Caribbean (WB),,2000,0.70647585
Latin America & Caribbean (WB),,2005,0.5054792
Latin America & Caribbean (WB),,2010,0.3642515
Latin America & Caribbean (WB),,2015,0.29708308
Latin America & Caribbean (WB),,2019,0.25705665
Middle East & North Africa (WB),,1990,1.2885789
Middle East & North Africa (WB),,1995,0.97114414
Middle East & North Africa (WB),,2000,0.78557444
Middle East & North Africa (WB),,2005,0.59631974
Middle East & North Africa (WB),,2010,0.4397429
Middle East & North Africa (WB),,2015,0.26868317
Middle East & North Africa (WB),,2019,0.22114336
North America (WB),,1990,0.0042011454
North America (WB),,1995,0.005439814
North America (WB),,2000,0.012379021
North America (WB),,2005,0.025211936
North America (WB),,2010,0.029044144
North America (WB),,2015,0.024289994
North America (WB),,2019,0.021281827
South Asia (WB),,1990,9.647751
South Asia (WB),,1995,8.755507
South Asia (WB),,2000,7.6242127
South Asia (WB),,2005,6.3521547
South Asia (WB),,2010,5.563919
South Asia (WB),,2015,4.2854156
South Asia (WB),,2019,3.260409
Sub-Saharan Africa (WB),,1990,7.0269966
Sub-Saharan Africa (WB),,1995,6.358026
Sub-Saharan Africa (WB),,2000,5.3742857
Sub-Saharan Africa (WB),,2005,4.52664
Sub-Saharan Africa (WB),,2010,4.294983
Sub-Saharan Africa (WB),,2015,3.9197798
Sub-Saharan Africa (WB),,2019,3.5264769
