Entity,Code,Year,Renewables - % electricity
Brazil,BRA,1990,94.50092
Brazil,BRA,1995,94.15729
Brazil,BRA,2000,90.13077
Brazil,BRA,2005,87.68826
Brazil,BRA,2010,85.35769
Brazil,BRA,2015,75.02318
Brazil,BRA,2020,84.18354
Brazil,BRA,2022,86.97733
China,CHN,1985,22.495691
China,CHN,1990,20.414036
China,CHN,1995,19.286135
China,CHN,2000,16.639128
China,CHN,2005,16.173119
China,CHN,2010,18.691467
China,CHN,2015,23.968369
China,CHN,2020,28.08742
China,CHN,2022,30.175854
France,FRA,1990,13.370086
France,FRA,1995,15.360343
France,FRA,2000,12.71177
France,FRA,2005,9.647984
France,FRA,2010,13.624007
France,FRA,2015,16.002232
France,FRA,2020,23.761024
France,FRA,2022,24.54161
India,IND,1985,27.798811
India,IND,1990,23.097132
India,IND,1995,18.022327
India,IND,2000,14.048197
India,IND,2005,15.254357
India,IND,2010,15.21222
India,IND,2015,15.370245
India,IND,2020,19.954615
India,IND,2022,20.499144
Sweden,SWE,1985,53.08152
Sweden,SWE,1990,51.00014
Sweden,SWE,1995,47.578903
Sweden,SWE,2000,57.247128
Sweden,SWE,2005,51.288204
Sweden,SWE,2010,55.29808
Sweden,SWE,2015,63.271606
Sweden,SWE,2020,68.4699
Sweden,SWE,2022,68.38162
United States,USA,1985,12.178154
United States,USA,1990,10.917163
United States,USA,1995,10.601639
United States,USA,2000,9.229899
United States,USA,2005,8.749464
United States,USA,2010,10.3180895
United States,USA,2015,13.626135
United States,USA,2020,20.315693
United States,USA,2022,22.350597
World,OWID_WRL,1985,20.817348
World,OWID_WRL,1990,19.062788
World,OWID_WRL,1995,19.722404
World,OWID_WRL,2000,18.909344
World,OWID_WRL,2005,18.260525
World,OWID_WRL,2010,19.859343
World,OWID_WRL,2015,23.17952
World,OWID_WRL,2020,28.24085
World,OWID_WRL,2022,29.548817
