Entity,Code,Year,Food exports (% of merchandise exports)
Austria,AUT,1970,4.6716433
Austria,AUT,1980,4.158333
Austria,AUT,1990,3.319115
Austria,AUT,2000,4.7253485
Austria,AUT,2010,6.8726673
Austria,AUT,2021,8.207816
Cote d'Ivoire,CIV,1962,75.44144
Cote d'Ivoire,CIV,1970,67.73491
Cote d'Ivoire,CIV,2000,49.86499
Cote d'Ivoire,CIV,2010,48.635197
Democratic Republic of Congo,COD,1962,95.152596
Democratic Republic of Congo,COD,1970,11.984389
Germany,DEU,1962,2.0515606
Germany,DEU,1970,3.1914175
Germany,DEU,1980,5.2783713
Germany,DEU,1990,4.787243
Germany,DEU,2000,4.1635175
Germany,DEU,2010,5.4652295
Germany,DEU,2021,5.501714
Morocco,MAR,1962,46.898018
Morocco,MAR,1970,51.79166
Morocco,MAR,1980,28.461523
Morocco,MAR,2000,21.471756
Morocco,MAR,2010,18.840841
Morocco,MAR,2021,20.707123
