Entity,Code,Year,Share of global annual CO₂ emissions from coal
China,CHN,1950,2.0131707
China,CHN,2000,28.257643
China,CHN,2022,54.21231
European Union (27),,1800,3.664184
European Union (27),,1850,27.542276
European Union (27),,1900,37.58342
European Union (27),,1950,29.218815
European Union (27),,2000,13.10993
European Union (27),,2022,4.6735044
India,IND,1900,0.56874925
India,IND,1950,1.3632977
India,IND,2000,6.222046
India,IND,2022,12.183594
Russia,RUS,1850,0.03528656
Russia,RUS,1900,1.5532447
Russia,RUS,1950,8.554098
Russia,RUS,2000,4.63778
Russia,RUS,2022,2.3352358
South Africa,ZAF,1900,0.124394394
South Africa,ZAF,1950,1.4310594
South Africa,ZAF,2000,3.6697714
South Africa,ZAF,2022,2.2217495
United Kingdom,GBR,1750,100.0
United Kingdom,GBR,1800,95.553825
United Kingdom,GBR,1850,62.18497
United Kingdom,GBR,1900,22.243126
United Kingdom,GBR,1950,11.773947
United Kingdom,GBR,2000,1.5688063
United Kingdom,GBR,2022,0.12865695
United States,USA,1800,0.7708191
United States,USA,1850,10.059837
United States,USA,1900,33.44566
United States,USA,1950,32.610172
United States,USA,2000,23.50073
United States,USA,2022,6.141526
