Entity,Code,Year,Share of global cumulative CO₂ emissions from gas
Canada,CAN,1882,0.0
Canada,CAN,1900,0.0
Canada,CAN,1920,1.5734577
Canada,CAN,1940,1.4339421
Canada,CAN,1960,1.5007704
Canada,CAN,1980,3.151305
Canada,CAN,2000,3.427808
Canada,CAN,2022,3.255137
China,CHN,1920,0.0
China,CHN,1940,0.0
China,CHN,1960,0.028413873
China,CHN,1980,0.45320985
China,CHN,2000,0.7436795
China,CHN,2022,3.016344
European Union (27),,1882,0.0
European Union (27),,1900,0.0
European Union (27),,1920,0.2878742
European Union (27),,1940,2.3327017
European Union (27),,1960,3.614532
European Union (27),,1980,11.112894
European Union (27),,2000,13.645129
European Union (27),,2022,12.859543
Japan,JPN,1882,0.0
Japan,JPN,1900,0.0
Japan,JPN,1920,0.036121152
Japan,JPN,1940,0.066418275
Japan,JPN,1960,0.07946328
Japan,JPN,1980,0.58082384
Japan,JPN,2000,2.0305104
Japan,JPN,2022,2.7542636
United Kingdom,GBR,1882,0.0
United Kingdom,GBR,1900,0.0
United Kingdom,GBR,1920,0.0
United Kingdom,GBR,1940,0.0
United Kingdom,GBR,1960,0.0058119283
United Kingdom,GBR,1980,1.5775042
United Kingdom,GBR,2000,2.8064668
United Kingdom,GBR,2022,2.7966585
United States,USA,1882,100.0
United States,USA,1900,100.000015
United States,USA,1920,98.08012
United States,USA,1940,91.80108
United States,USA,1960,87.292046
United States,USA,1980,60.2464
United States,USA,2000,40.80027
United States,USA,2022,30.677109
