Entity,Code,Year,Share of global cumulative CO₂ emissions including land-use change
Cuba,CUB,1960,0.1336732
Cuba,CUB,1980,0.25765774
Cuba,CUB,2000,0.24407627
Cuba,CUB,2022,0.18331718
Europe (excl. EU-28),,1850,24.371374
Europe (excl. EU-28),,1860,11.102978
Europe (excl. EU-28),,1880,19.28782
Europe (excl. EU-28),,1900,21.415382
Europe (excl. EU-28),,1920,20.28004
Europe (excl. EU-28),,1940,19.069693
Europe (excl. EU-28),,1960,16.574844
Europe (excl. EU-28),,1980,15.640386
Europe (excl. EU-28),,2000,14.202909
Europe (excl. EU-28),,2022,11.56787
Iceland,ISL,1940,0.0013579647
Iceland,ISL,1960,0.0105792945
Iceland,ISL,1980,0.011659942
Iceland,ISL,2000,0.010706614
Iceland,ISL,2022,0.010396675
Lebanon,LBN,1940,0.0009002764
Lebanon,LBN,1960,0.004177245
Lebanon,LBN,1980,0.011274801
Lebanon,LBN,2000,0.018897839
Lebanon,LBN,2022,0.030496078
Thailand,THA,1940,0.2728737
Thailand,THA,1960,0.6906882
Thailand,THA,1980,1.0176878
Thailand,THA,2000,0.94816566
Thailand,THA,2022,0.92185503
