Entity,Code,Year,Share of global cumulative CO₂ emissions including land-use change
China,CHN,1920,1.1170704
China,CHN,1940,1.8459582
China,CHN,1960,2.726753
China,CHN,1980,4.146594
China,CHN,2000,7.3697996
China,CHN,2022,12.553429
European Union (27),,1850,9.948486
European Union (27),,1860,9.392542
European Union (27),,1880,12.216601
European Union (27),,1900,13.552758
European Union (27),,1920,14.359724
European Union (27),,1940,14.538526
European Union (27),,1960,13.795902
European Union (27),,1980,14.499542
European Union (27),,2000,14.0004835
European Union (27),,2022,12.135026
India,IND,1860,1.0909922
India,IND,1880,1.3488234
India,IND,1900,1.8606813
India,IND,1920,1.8449764
India,IND,1940,3.099797
India,IND,1960,3.8929265
India,IND,1980,3.4645367
India,IND,2000,3.2426436
India,IND,2022,3.8680646
United Kingdom,GBR,1850,4.608692
United Kingdom,GBR,1860,4.2703924
United Kingdom,GBR,1880,6.5871367
United Kingdom,GBR,1900,7.0128846
United Kingdom,GBR,1920,6.8571334
United Kingdom,GBR,1940,6.2248425
United Kingdom,GBR,1960,5.588033
United Kingdom,GBR,1980,4.776334
United Kingdom,GBR,2000,3.9093153
United Kingdom,GBR,2022,3.053411
United States,USA,1850,29.099663
United States,USA,1860,32.136253
United States,USA,1880,35.118023
United States,USA,1900,35.88997
United States,USA,1920,35.440777
United States,USA,1940,33.209755
United States,USA,1960,30.215567
United States,USA,1980,27.494509
United States,USA,2000,24.86515
United States,USA,2022,21.584816
