Entity,Code,Year,Share of alcohol in total household consumption (World Bank Global Consumption Database)
Burkina Faso,BFA,2010,0.77232629
Burundi,BDI,2010,3.6020577
Cameroon,CMR,2010,2.9878156
Cape Verde,CPV,2010,0.85370296
East Timor,TLS,2010,1.029765
Fiji,FJI,2010,0.78922135
Guatemala,GTM,2010,0.40613422
Jamaica,JAM,2010,0.58893412
Kazakhstan,KAZ,2010,1.6184428
Laos,LAO,2010,1.3184243
Latvia,LVA,2010,1.7668848
Lithuania,LTU,2010,2.6316721
Malawi,MWI,2010,1.0115453
Mauritania,MRT,2010,0.0
Morocco,MAR,2010,0.020461136
Mozambique,MOZ,2010,0.48885977
Pakistan,PAK,2010,0.0
Serbia,SRB,2010,1.4810959
South Africa,ZAF,2010,0.58105636
Tanzania,TZA,2010,2.3347247
