Entity,Code,Year,DTP3 (% of one-year-olds immunized)
African Region (WHO),,1980,5
African Region (WHO),,1985,32
African Region (WHO),,1990,57
African Region (WHO),,1995,54
African Region (WHO),,2000,52
African Region (WHO),,2005,63
African Region (WHO),,2010,71
African Region (WHO),,2015,71
African Region (WHO),,2021,71
Eastern Mediterranean Region (WHO),,1980,17
Eastern Mediterranean Region (WHO),,1985,45
Eastern Mediterranean Region (WHO),,1990,70
Eastern Mediterranean Region (WHO),,1995,68
Eastern Mediterranean Region (WHO),,2000,72
Eastern Mediterranean Region (WHO),,2005,76
Eastern Mediterranean Region (WHO),,2010,75
Eastern Mediterranean Region (WHO),,2015,80
Eastern Mediterranean Region (WHO),,2021,82
European Region (WHO),,1980,63
European Region (WHO),,1985,78
European Region (WHO),,1990,80
European Region (WHO),,1995,87
European Region (WHO),,2000,93
European Region (WHO),,2005,95
European Region (WHO),,2010,94
European Region (WHO),,2015,93
European Region (WHO),,2021,94
Region of the Americas (WHO),,1980,50
Region of the Americas (WHO),,1985,64
Region of the Americas (WHO),,1990,74
Region of the Americas (WHO),,1995,86
Region of the Americas (WHO),,2000,91
Region of the Americas (WHO),,2005,94
Region of the Americas (WHO),,2010,94
Region of the Americas (WHO),,2015,91
Region of the Americas (WHO),,2021,80
South-East Asia Region (WHO),,1980,7
South-East Asia Region (WHO),,1985,20
South-East Asia Region (WHO),,1990,70
South-East Asia Region (WHO),,1995,71
South-East Asia Region (WHO),,2000,64
South-East Asia Region (WHO),,2005,70
South-East Asia Region (WHO),,2010,82
South-East Asia Region (WHO),,2015,88
South-East Asia Region (WHO),,2021,82
Western Pacific Region (WHO),,1980,8
Western Pacific Region (WHO),,1985,73
Western Pacific Region (WHO),,1990,94
Western Pacific Region (WHO),,1995,80
Western Pacific Region (WHO),,2000,85
Western Pacific Region (WHO),,2005,88
Western Pacific Region (WHO),,2010,97
Western Pacific Region (WHO),,2015,96
Western Pacific Region (WHO),,2021,90
