Entity,Code,Year,"Prevalence of underweight, weight for age (% of children under 5)"
Bangladesh,BGD,1986,66.8
Bangladesh,BGD,1990,61.5
Bangladesh,BGD,1995,55.2
Bangladesh,BGD,2000,42.4
Bangladesh,BGD,2005,37.3
Bolivia,BOL,1990,9.7
China,CHN,1990,12.6
China,CHN,1995,10.7
China,CHN,2000,7.4
China,CHN,2005,4.5
China,CHN,2010,3.4
India,IND,2015,36.3
Nigeria,NGA,1990,33.1
Nigeria,NGA,2015,19.5
Nigeria,NGA,2020,18.4
World,OWID_WRL,2000,20.484285
World,OWID_WRL,2005,18.425701
World,OWID_WRL,2010,16.205082
World,OWID_WRL,2015,14.097233
World,OWID_WRL,2020,12.597688
