Entity,Code,Year,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average) | 00021012 || Value | 006121 || Percent","GDP per capita, PPP (constant 2017 international $)",Continent
Afghanistan,AFG,2018,70.0,2060.699,
Albania,ALB,2018,35.0,13319.495,
Algeria,DZA,2018,50.0,11725.878,
Angola,AGO,2018,61.0,6878.5933,
Argentina,ARG,2018,36.0,22747.242,
Armenia,ARM,2018,40.0,13231.431,
Australia,AUS,2018,24.0,49052.816,
Azerbaijan,AZE,2018,58.0,14209.593,
Bangladesh,BGD,2018,78.0,5124.4985,
Belize,BLZ,2018,37.0,8798.538,
Bolivia,BOL,2018,48.0,8466.293,
Bosnia and Herzegovina,BIH,2018,46.0,14066.845,
Brazil,BRA,2018,31.0,14619.591,
Burkina Faso,BFA,2018,64.0,2051.2185,
Cambodia,KHM,2018,68.0,4217.6216,
Cameroon,CMR,2018,56.0,3732.5012,
Canada,CAN,2018,28.0,48962.48,
Cape Verde,CPV,2018,52.0,6534.4604,
Central African Republic,CAF,2018,52.0,854.64746,
Chad,TCD,2018,62.0,1563.544,
China,CHN,2018,50.0,15133.996,
Congo,COG,2018,61.0,3786.412,
Costa Rica,CRI,2018,31.0,20503.277,
Cote d'Ivoire,CIV,2018,72.0,4949.6147,
Cyprus,CYP,2018,40.0,40099.836,
Egypt,EGY,2018,66.0,10783.762,
Estonia,EST,2018,29.0,34979.867,
Ethiopia,ETH,2018,75.0,2067.4565,
Finland,FIN,2018,32.0,48048.523,
Gambia,GMB,2018,59.0,2012.5908,
Haiti,HTI,2018,52.0,3197.1414,
Honduras,HND,2018,44.0,5561.2627,
Iran,IRN,2018,54.0,14628.946,
Iraq,IRQ,2018,61.0,9995.05,
Ireland,IRL,2018,31.0,83340.39,
Jordan,JOR,2018,43.0,9584.507,
Kiribati,KIR,2018,35.0,2033.7283,
Liberia,LBR,2018,68.0,1521.7335,
Madagascar,MDG,2018,79.0,1557.3225,
Malaysia,MYS,2018,41.0,26835.81,
Mexico,MEX,2018,42.0,20278.217,
Myanmar,MMR,2018,49.0,4556.2812,
Namibia,NAM,2018,55.0,10266.171,
Niger,NER,2018,61.0,1193.2656,
Panama,PAN,2018,45.0,31125.625,
Rwanda,RWA,2018,52.0,2050.441,
Samoa,WSM,2018,32.0,6139.523,
Saudi Arabia,SAU,2018,49.0,45840.84,
Switzerland,CHE,2018,24.0,70558.56,
United Arab Emirates,ARE,2018,36.0,71550.555,
Vanuatu,VUT,2018,47.0,3045.0427,
