Entity,Code,Year,Agricultural land (% of land area)
Egypt,EGY,1961,2.579738
Egypt,EGY,1970,2.8559947
Egypt,EGY,1980,2.4561756
Egypt,EGY,1990,2.6601036
Egypt,EGY,2000,3.3060424
Egypt,EGY,2010,3.6877794
Egypt,EGY,2020,3.9891505
Iceland,ISL,1961,21.147133
Iceland,ISL,1970,19.9601
Iceland,ISL,1980,18.952618
Iceland,ISL,1990,18.962593
Iceland,ISL,2000,18.842894
Iceland,ISL,2010,18.693266
Iceland,ISL,2020,18.565903
Lithuania,LTU,1961,54.068283
Lithuania,LTU,1970,54.068283
Lithuania,LTU,1980,54.068283
Lithuania,LTU,1990,54.068283
Lithuania,LTU,2000,54.530952
Lithuania,LTU,2010,44.23295
Lithuania,LTU,2020,46.99457
Marshall Islands,MHL,1961,66.666664
Marshall Islands,MHL,1970,66.666664
Marshall Islands,MHL,1980,66.666664
Marshall Islands,MHL,1990,66.666664
Marshall Islands,MHL,2000,66.666664
Marshall Islands,MHL,2010,72.22222
Marshall Islands,MHL,2020,47.77778
Pakistan,PAK,1961,46.349625
Pakistan,PAK,1970,46.52475
Pakistan,PAK,1980,48.536736
Pakistan,PAK,1990,45.669884
Pakistan,PAK,2000,47.605335
Pakistan,PAK,2010,45.716583
Pakistan,PAK,2020,47.637764
Panama,PAN,1961,21.845575
Panama,PAN,1970,22.652678
Panama,PAN,1980,24.952919
Panama,PAN,1990,28.571428
Panama,PAN,2000,29.997309
Panama,PAN,2010,30.486816
Panama,PAN,2020,29.30844
Romania,ROU,1961,63.388905
Romania,ROU,1970,64.81723
Romania,ROU,1980,64.964836
Romania,ROU,1990,64.39503
Romania,ROU,2000,64.6772
Romania,ROU,2010,61.53445
Romania,ROU,2020,59.07076
Serbia,SRB,1961,40.441345
Serbia,SRB,1970,40.441345
Serbia,SRB,1980,40.441345
Serbia,SRB,1990,40.441345
Serbia,SRB,2000,40.441345
Serbia,SRB,2010,40.265263
Serbia,SRB,2020,40.06403
