Entity,Code,Year,"Prevalence of overweight among adults, BMI >= 25 (age-standardized estimate) (%) - Sex: male - Age group: 18+  years"
Angola,AGO,1975,5.5
Angola,AGO,1980,6.3
Angola,AGO,1985,7.3
Angola,AGO,1990,8.5
Angola,AGO,1995,10.0
Angola,AGO,2000,11.7
Angola,AGO,2005,13.7
Angola,AGO,2010,16.1
Angola,AGO,2016,19.5
Grenada,GRD,1975,18.8
Grenada,GRD,1980,21.0
Grenada,GRD,1985,23.5
Grenada,GRD,1990,26.1
Grenada,GRD,1995,29.1
Grenada,GRD,2000,32.6
Grenada,GRD,2005,36.1
Grenada,GRD,2010,39.5
Grenada,GRD,2016,43.7
Guatemala,GTM,1975,23.1
Guatemala,GTM,1980,25.8
Guatemala,GTM,1985,28.8
Guatemala,GTM,1990,32.3
Guatemala,GTM,1995,35.9
Guatemala,GTM,2000,39.6
Guatemala,GTM,2005,43.3
Guatemala,GTM,2010,47.0
Guatemala,GTM,2016,51.4
Nigeria,NGA,1975,6.4
Nigeria,NGA,1980,7.4
Nigeria,NGA,1985,8.6
Nigeria,NGA,1990,10.2
Nigeria,NGA,1995,11.9
Nigeria,NGA,2000,13.7
Nigeria,NGA,2005,15.9
Nigeria,NGA,2010,18.3
Nigeria,NGA,2016,21.7
Papua New Guinea,PNG,1975,23.8
Papua New Guinea,PNG,1980,26.4
Papua New Guinea,PNG,1985,29.2
Papua New Guinea,PNG,1990,32.1
Papua New Guinea,PNG,1995,34.9
Papua New Guinea,PNG,2000,37.6
Papua New Guinea,PNG,2005,40.4
Papua New Guinea,PNG,2010,43.4
Papua New Guinea,PNG,2016,47.4
Peru,PER,1975,26.9
Peru,PER,1980,30.4
Peru,PER,1985,33.8
Peru,PER,1990,37.1
Peru,PER,1995,40.5
Peru,PER,2000,44.0
Peru,PER,2005,47.4
Peru,PER,2010,50.8
Peru,PER,2016,54.8
Yemen,YEM,1975,17.8
Yemen,YEM,1980,20.0
Yemen,YEM,1985,22.4
Yemen,YEM,1990,25.1
Yemen,YEM,1995,28.2
Yemen,YEM,2000,31.5
Yemen,YEM,2005,35.0
Yemen,YEM,2010,38.9
Yemen,YEM,2016,44.1
