Entity,Code,Year,Share of mothers who have lost a child,Population (historical estimates),Continent
Africa,,1960,,284288223.0,
Africa,,1980,,481543145.0,
Angola,AGO,1960,45.21,5357201.0,
Angola,AGO,1980,19.09,8330053.0,
Asia,,1960,,1698939691.0,
Asia,,1980,,2635334410.0,
Cambodia,KHM,1960,29.59,5541679.0,
Cambodia,KHM,1980,5.4,6198963.0,
Chad,TCD,1960,55.16,3028688.0,
Chad,TCD,1980,35.05,4408239.0,
Colombia,COL,1960,5.22,15687692.0,
Colombia,COL,1980,2.75,26176206.0,
Ethiopia,ETH,1960,54.94,21739718.0,
Ethiopia,ETH,1980,18.56,34945472.0,
Guatemala,GTM,1960,21.64,4098362.0,
Guatemala,GTM,1980,7.73,6987769.0,
Indonesia,IDN,1960,15.76,88382888.0,
Indonesia,IDN,1980,3.89,148177104.0,
Kenya,KEN,1960,26.7,7751440.0,
Kenya,KEN,1980,10.92,16187124.0,
Liberia,LBR,1960,54.19,1137030.0,
Liberia,LBR,1980,22.85,1932174.0,
Madagascar,MDG,1960,35.99,5073347.0,
Madagascar,MDG,1980,10.23,8948166.0,
Mali,MLI,1960,59.51,5346797.0,
Mali,MLI,1980,25.1,7372590.0,
Myanmar,MMR,1960,24.01,21720702.0,
Myanmar,MMR,1980,9.81,33465782.0,
Nepal,NPL,1960,31.16,10167941.0,
Nepal,NPL,1980,8.13,15600443.0,
Niger,NER,1960,64.64,3497438.0,
Niger,NER,1980,31.92,6173179.0,
Nigeria,NGA,1960,48.26,44928336.0,
Nigeria,NGA,1980,26.73,72951440.0,
North America,,1960,,264916376.0,
North America,,1980,,368574942.0,
Rwanda,RWA,1960,50.89,2966170.0,
Rwanda,RWA,1980,12.4,5247537.0,
Senegal,SEN,1960,38.57,3273181.0,
Senegal,SEN,1980,14.76,5703873.0,
Sierra Leone,SLE,1960,54.14,2301315.0,
Sierra Leone,SLE,1980,30.17,3367486.0,
South & Southeast Asia,,1960,20.12,,
South & Southeast Asia,,1980,8.12,,
South Africa,ZAF,1960,11.84,16520438.0,
South Africa,ZAF,1980,6.93,29463546.0,
South America,,1960,,149224306.0,
South America,,1980,,241789097.0,
Tanzania,TZA,1960,41.87,10042467.0,
Tanzania,TZA,1980,15.04,19297660.0,
Togo,TGO,1960,35.07,1651372.0,
Togo,TGO,1980,16.54,2838115.0,
Uganda,UGA,1960,51.25,7617751.0,
Uganda,UGA,1980,20.93,13284030.0,
Zimbabwe,ZWE,1960,17.94,3806312.0,
Zimbabwe,ZWE,1980,10.46,7049931.0,
