Entity,Code,Year,PCV3 (% of one-year-olds immunized)
Afghanistan,AFG,2014,49
Afghanistan,AFG,2016,62
Afghanistan,AFG,2018,69
Afghanistan,AFG,2020,68
Afghanistan,AFG,2021,65
Eritrea,ERI,2016,95
Eritrea,ERI,2018,95
Eritrea,ERI,2020,95
Eritrea,ERI,2021,95
Mauritania,MRT,2014,71
Mauritania,MRT,2016,71
Mauritania,MRT,2018,72
Mauritania,MRT,2020,70
Mauritania,MRT,2021,65
Oman,OMN,2010,99
Oman,OMN,2012,99
Oman,OMN,2014,98
Oman,OMN,2016,99
Oman,OMN,2018,99
Oman,OMN,2020,99
Oman,OMN,2021,99
United Arab Emirates,ARE,2010,94
United Arab Emirates,ARE,2012,96
United Arab Emirates,ARE,2014,99
United Arab Emirates,ARE,2016,99
United Arab Emirates,ARE,2018,99
United Arab Emirates,ARE,2020,84
United Arab Emirates,ARE,2021,95
United States,USA,2008,93
United States,USA,2010,93
United States,USA,2012,92
United States,USA,2014,93
United States,USA,2016,93
United States,USA,2018,92
United States,USA,2020,82
United States,USA,2021,82
