Entity,Code,Year,Share of waste mismanaged from total regional waste
Americas (excl. USA),,2000,32.366478
Americas (excl. USA),,2019,28.854757
Asia (excl. China and India),,2000,36.55034
Asia (excl. China and India),,2019,33.391937
China,CHN,2000,60.404324
China,CHN,2019,26.685575
Europe,,2000,12.765225
Europe,,2019,5.479441
India,IND,2000,67.559875
India,IND,2019,45.670982
Middle East & North Africa,,2000,45.726345
Middle East & North Africa,,2019,39.45715
Sub-Saharan Africa,,2000,68.76415
Sub-Saharan Africa,,2019,63.090157
United States,USA,2000,7.7677383
United States,USA,2019,3.3611376
World,OWID_WRL,2000,25.733202
World,OWID_WRL,2019,22.151478
