Entity,Code,Year,"Current number of cases of hiv/aids per 100 people, in both sexes aged 15-49 years"
Croatia,HRV,1990,0.0049253968
Croatia,HRV,1995,0.009153917
Croatia,HRV,2000,0.011439378
Croatia,HRV,2005,0.013732337
Croatia,HRV,2010,0.01850529
Croatia,HRV,2015,0.021976117
Croatia,HRV,2019,0.02353797
Cyprus,CYP,1990,0.00495441
Cyprus,CYP,1995,0.0075774505
Cyprus,CYP,2000,0.009849193
Cyprus,CYP,2005,0.011581968
Cyprus,CYP,2010,0.013561184
Cyprus,CYP,2015,0.017452193
Cyprus,CYP,2019,0.020613167
Middle Income (WB),,1990,0.055116534
Middle Income (WB),,1995,0.19071387
Middle Income (WB),,2000,0.38025472
Middle Income (WB),,2005,0.46128348
Middle Income (WB),,2010,0.51391846
Middle Income (WB),,2015,0.6227046
Middle Income (WB),,2019,0.7091145
Philippines,PHL,1990,0.0
Philippines,PHL,1995,0.03676091
Philippines,PHL,2000,0.06578323
Philippines,PHL,2005,0.104752414
Philippines,PHL,2010,0.16111086
Philippines,PHL,2015,0.25798962
Philippines,PHL,2019,0.40043628
Syria,SYR,1990,0.0015191265
Syria,SYR,1995,0.0020245425
Syria,SYR,2000,0.0023745953
Syria,SYR,2005,0.0024308814
Syria,SYR,2010,0.003293009
Syria,SYR,2015,0.0038154644
Syria,SYR,2019,0.004009132
United Arab Emirates,ARE,1990,0.004648455
United Arab Emirates,ARE,1995,0.0072738975
United Arab Emirates,ARE,2000,0.012136245
United Arab Emirates,ARE,2005,0.017060474
United Arab Emirates,ARE,2010,0.01982842
United Arab Emirates,ARE,2015,0.022789145
United Arab Emirates,ARE,2019,0.025569124
