Entity,Code,Year,AFP cases with adequate stool collection
Afghanistan,AFG,2001,73
Afghanistan,AFG,2005,92
Afghanistan,AFG,2010,93
Afghanistan,AFG,2015,93
Afghanistan,AFG,2021,93
Botswana,BWA,2001,75
Botswana,BWA,2005,69
Botswana,BWA,2010,80
Botswana,BWA,2015,91
Botswana,BWA,2021,54
Indonesia,IDN,2001,82
Indonesia,IDN,2005,80
Indonesia,IDN,2010,85
Indonesia,IDN,2015,92
Indonesia,IDN,2021,57
Malawi,MWI,2001,90
Malawi,MWI,2005,84
Malawi,MWI,2010,78
Malawi,MWI,2015,81
Malawi,MWI,2021,48
Mozambique,MOZ,2001,48
Mozambique,MOZ,2005,92
Mozambique,MOZ,2010,86
Mozambique,MOZ,2015,81
Mozambique,MOZ,2021,45
Nigeria,NGA,2001,67
Nigeria,NGA,2005,85
Nigeria,NGA,2010,95
Nigeria,NGA,2015,99
Nigeria,NGA,2021,49
Pakistan,PAK,2001,84
Pakistan,PAK,2005,89
Pakistan,PAK,2010,88
Pakistan,PAK,2015,87
Pakistan,PAK,2021,85
