Entity,Code,Year,Solar and wind (% equivalent primary energy)
Africa,,1965,0.0
Africa,,1970,0.0
Africa,,1980,0.0
Africa,,1990,0.0
Africa,,2000,0.01734353
Africa,,2010,0.15594462
Africa,,2022,1.949515
Colombia,COL,1965,0.0
Colombia,COL,1970,0.0
Colombia,COL,1980,0.0
Colombia,COL,1990,0.0
Colombia,COL,2000,0.0017270469
Colombia,COL,2010,0.02521282
Colombia,COL,2022,0.24707606
Norway,NOR,1980,0.0
Norway,NOR,1990,0.0
Norway,NOR,2000,0.018490363
Norway,NOR,2010,0.4920694
Norway,NOR,2022,7.4713326
Switzerland,CHE,1970,0.0
Switzerland,CHE,1980,0.0
Switzerland,CHE,1990,0.0008916688
Switzerland,CHE,2000,0.011362556
Switzerland,CHE,2010,0.103951186
Switzerland,CHE,2022,3.4715824
Western Africa (EI),,1965,0.0
Western Africa (EI),,1970,0.0
Western Africa (EI),,1980,0.0
Western Africa (EI),,1990,0.0
Western Africa (EI),,2000,0.008939831
Western Africa (EI),,2010,0.020793354
Western Africa (EI),,2022,0.573549
