Entity,Code,Year,PISA: Male 15-year-olds by mathematics proficiency level (%). Level 6,PISA: Female 15-year-olds by mathematics proficiency level (%). Level 6,Population (historical estimates),Continent
Africa,,2018,,,1295265310.0,
Asia,,2018,,,4588802751.0,
China,CHN,2018,19.103405,13.568245,1417069440.0,
Estonia,EST,2018,4.584768,2.7441704,1322146.0,
Europe,,2018,,,746577709.0,
Germany,DEU,2018,3.517658,1.9867635,82896696.0,
Hong Kong,HKG,2018,10.154028,8.811524,7481563.0,
Indonesia,IDN,2018,0.042777967,0.04347376,267066848.0,
Japan,JPN,2018,5.710282,2.980944,126255872.0,
Macao,MAC,2018,8.736719,6.63035,650996.0,
North America,,2018,,,585864285.0,
Oceania,,2018,,,42540030.0,
Poland,POL,2018,4.4248695,3.7381992,38521464.0,
Singapore,SGP,2018,15.316748,12.179543,5814543.0,
South America,,2018,,,424740741.0,
South Korea,KOR,2018,7.9617815,5.820929,51676900.0,
Switzerland,CHE,2018,5.5187893,4.1705313,8514431.0,
Turkey,TUR,2018,1.0604819,0.7125951,82809304.0,
United States,USA,2018,1.8890591,1.0475261,332140032.0,
