Entity,Code,Year,Share of the daily caloric intake that comes from animal protein
Belgium-Luxembourg (FAO),,1961,6.691755
Belgium-Luxembourg (FAO),,1970,7.066493
Belgium-Luxembourg (FAO),,1980,7.6822486
Belgium-Luxembourg (FAO),,1990,7.2633076
Guyana,GUY,1961,3.7261698
Guyana,GUY,1970,4.547651
Guyana,GUY,1980,4.4823627
Guyana,GUY,1990,3.5487704
Guyana,GUY,2000,5.244054
Guyana,GUY,2010,4.7961164
Guyana,GUY,2020,4.6807437
Hong Kong,HKG,1961,4.1990743
Hong Kong,HKG,1970,6.0479007
Hong Kong,HKG,1980,7.0476193
Hong Kong,HKG,1990,7.425157
Hong Kong,HKG,2000,9.28698
Hong Kong,HKG,2010,10.261242
Hong Kong,HKG,2020,13.489216
Low Income Food Deficit Countries (FAO),,1961,1.5463195
Low Income Food Deficit Countries (FAO),,1970,1.4895636
Low Income Food Deficit Countries (FAO),,1980,1.7120236
Low Income Food Deficit Countries (FAO),,1990,1.8161663
Low Income Food Deficit Countries (FAO),,2000,1.8869227
Low Income Food Deficit Countries (FAO),,2010,2.08876
Low Income Food Deficit Countries (FAO),,2020,2.4053311
Luxembourg,LUX,2000,7.7562523
Luxembourg,LUX,2010,7.6914353
Luxembourg,LUX,2020,7.63657
Micronesia (country),FSM,2020,5.5205526
Sri Lanka,LKA,1961,1.6065574
Sri Lanka,LKA,1970,1.5859032
Sri Lanka,LKA,1980,1.6777585
Sri Lanka,LKA,1990,1.8366406
Sri Lanka,LKA,2000,2.387905
Sri Lanka,LKA,2010,2.4210527
Sri Lanka,LKA,2020,2.7107205
