Entity,Code,Year,share_employed_agri
China,CHN,1991,59.70000076
China,CHN,1995,52.20000076
China,CHN,2000,50.00999832
China,CHN,2005,44.79999924
China,CHN,2010,36.70000076
China,CHN,2015,28.59000015
China,CHN,2019,25.32999992
Colombia,COL,1991,23.75
Colombia,COL,1995,22.84000015
Colombia,COL,2000,22.43000031
Colombia,COL,2005,20.65999985
Colombia,COL,2010,18.37999916
Colombia,COL,2015,16.01000023
Colombia,COL,2019,15.77000046
France,FRA,1991,6.03000021
France,FRA,1995,4.889999866
France,FRA,2000,4.139999866
France,FRA,2005,3.640000105
France,FRA,2010,2.910000086
France,FRA,2015,2.710000038
France,FRA,2019,2.529999971
Italy,ITA,1991,8.31000042
Italy,ITA,1995,6.579999924
Italy,ITA,2000,5.230000019
Italy,ITA,2005,4.199999809
Italy,ITA,2010,3.769999981
Italy,ITA,2015,3.75
Italy,ITA,2019,3.890000105
Jamaica,JAM,1991,27.90999985
Jamaica,JAM,1995,23.20000076
Jamaica,JAM,2000,20.86000061
Jamaica,JAM,2005,18.11000061
Jamaica,JAM,2010,17.81999969
Jamaica,JAM,2015,17.75
Jamaica,JAM,2019,15.22000027
Netherlands,NLD,1991,4.25
Netherlands,NLD,1995,3.829999924
Netherlands,NLD,2000,3.279999971
Netherlands,NLD,2005,3.700000048
Netherlands,NLD,2010,3.059999943
Netherlands,NLD,2015,2.319999933
Netherlands,NLD,2019,2.079999924
Poland,POL,1991,25.56999969
Poland,POL,1995,22.87999916
Poland,POL,2000,18.67000008
Poland,POL,2005,17.37999916
Poland,POL,2010,13.05000019
Poland,POL,2015,11.52999973
Poland,POL,2019,9.149999619
