Entity,Code,Year,Share of total deaths in both sexes aged all ages years that are from cardiovascular diseases,Continent,Population
Africa,,1961,,,291177974.0
Africa,,2020,,,1360677453.0
Antigua and Barbuda,ATG,1961,21.669981,,56264.0
Antigua and Barbuda,ATG,2020,39.02439,,92672.0
Asia,,1961,,,1725304326.0
Asia,,2020,,,4663086623.0
Chile,CHL,1961,15.3719845,,8313539.0
Chile,CHL,2020,23.000103,,19300318.0
Colombia,COL,1961,9.809694,,16182421.0
Colombia,COL,2020,28.14431,,50930656.0
Costa Rica,CRI,1961,12.831586,,1396142.0
Costa Rica,CRI,2020,22.464994,,5123107.0
Denmark,DNK,1961,48.427616,,4613437.0
Denmark,DNK,2020,20.98384,,5825638.0
Europe,,1961,,,612306138.0
Europe,,2020,,,747462669.0
Finland,FIN,1961,48.84036,,4461532.0
Finland,FIN,2020,33.453457,,5529468.0
Greece,GRC,1961,27.370808,,8526467.0
Greece,GRC,2020,34.898994,,10512232.0
Iceland,ISL,1961,42.94872,,179038.0
Iceland,ISL,2020,29.501085,,366682.0
Japan,JPN,1961,35.32353,,95355464.0
Japan,JPN,2020,25.120651,,125244760.0
Mauritius,MUS,1961,18.093775,,693252.0
Mauritius,MUS,2020,29.855335,,1297830.0
Mexico,MEX,1961,9.370283,,37439316.0
Mexico,MEX,2020,23.842339,,125998296.0
Netherlands,NLD,1961,44.89269,,11647374.0
Netherlands,NLD,2020,20.916183,,17434562.0
North America,,1961,,,269992478.0
North America,,2020,,,594263186.0
Oceania,,1961,,,16213869.0
Oceania,,2020,,,43933757.0
Poland,POL,1961,29.195333,,29913228.0
Poland,POL,2020,36.534447,,38428368.0
South America,,1961,,,153377880.0
South America,,2020,,,431530105.0
Switzerland,CHE,1961,46.039528,,5434674.0
Switzerland,CHE,2020,26.919088,,8638609.0
United Kingdom,GBR,1961,51.44843,,52861256.0
United Kingdom,GBR,2020,22.015053,,67059472.0
United States,USA,1961,54.340878,,179087280.0
United States,USA,2020,26.97264,,335942016.0
