Entity,Code,Year,Share of urban population (estimates),Annual share of population residing in urban areas at mid-year (estimates)
Europe,,1980,75.5138,67.57342
Europe,,1990,76.3275,69.92739
Europe,,2000,77.16708,71.05672
Europe,,2010,77.34714,72.938034
Europe,,2020,77.91003,
Europe,,1950,,51.710625
Europe,,1960,,57.366787
Europe,,1970,,63.13474
World,OWID_WRL,1980,77.711075,39.345875
World,OWID_WRL,1990,81.259315,42.96103
World,OWID_WRL,2000,84.31595,46.677044
World,OWID_WRL,2010,85.992226,51.663994
World,OWID_WRL,2020,86.91321,
World,OWID_WRL,1950,,29.60653
World,OWID_WRL,1960,,33.754494
World,OWID_WRL,1970,,36.594707
