Entity,Code,Year,"5.a.1 - Proportion of people with ownership or secure rights over agricultural land (out of total agricultural population), by sex (%) - SP_LGL_LNDAGSEC - Male","5.a.1 - Proportion of people with ownership or secure rights over agricultural land (out of total agricultural population), by sex (%) - SP_LGL_LNDAGSEC - Female",Population,Continent
Africa,,2022,,,1426736614.0,
Asia,,2022,,,4721383370.0,
Benin,BEN,2022,,,13352864.0,
Cambodia,KHM,2022,,,16767851.0,
Cote d'Ivoire,CIV,2022,,,28160548.0,
Ethiopia,ETH,2022,,,123379928.0,
Gambia,GMB,2022,,,2705995.0,
Ghana,GHA,2022,,,33475870.0,
India,IND,2022,,,1417173120.0,
Indonesia,IDN,2022,,,275501344.0,
Madagascar,MDG,2022,,,29611718.0,
Malawi,MWI,2022,,,20405318.0,
Mali,MLI,2022,,,22593598.0,
Nigeria,NGA,2022,,,218541216.0,
North America,,2022,,,600323657.0,
Oceania,,2022,,,45038860.0,
Pakistan,PAK,2022,,,235824864.0,
Papua New Guinea,PNG,2022,,,10142625.0,
Peru,PER,2022,,,34049588.0,
Senegal,SEN,2022,14.3,1.4,17316452.0,
Sierra Leone,SLE,2022,,,8605723.0,
South America,,2022,,,436816679.0,
Tanzania,TZA,2022,,,65497752.0,
Togo,TGO,2022,,,8848700.0,
Uganda,UGA,2022,,,47249588.0,
Zambia,ZMB,2022,,,20017670.0,
Zimbabwe,ZWE,2022,,,16320539.0,
