Entity,Code,Year,"Current number of cases of drug use disorders per 100 people, in both sexes aged age-standardized"
Croatia,HRV,1990,0.7331854
Croatia,HRV,1995,0.7909604
Croatia,HRV,2000,0.82161534
Croatia,HRV,2005,0.8665523
Croatia,HRV,2010,0.87718654
Croatia,HRV,2015,0.88275903
Croatia,HRV,2019,0.79208857
Ghana,GHA,1990,0.3675847
Ghana,GHA,1995,0.37298474
Ghana,GHA,2000,0.42927134
Ghana,GHA,2005,0.4664061
Ghana,GHA,2010,0.4842426
Ghana,GHA,2015,0.50091964
Ghana,GHA,2019,0.5149666
Malta,MLT,1990,0.66410494
Malta,MLT,1995,0.70522493
Malta,MLT,2000,0.89362335
Malta,MLT,2005,0.94722825
Malta,MLT,2010,0.9947579
Malta,MLT,2015,0.89220375
Malta,MLT,2019,0.88049465
Mauritania,MRT,1990,0.3240239
Mauritania,MRT,1995,0.32627085
Mauritania,MRT,2000,0.33255884
Mauritania,MRT,2005,0.33861548
Mauritania,MRT,2010,0.34572494
Mauritania,MRT,2015,0.35379928
Mauritania,MRT,2019,0.36403227
