Entity,Code,Year,"Current number of cases of mental disorders per 100 people, in both sexes aged age-standardized"
Guam,GUM,1990,10.899499
Guam,GUM,1995,10.911338
Guam,GUM,2000,10.907534
Guam,GUM,2005,10.903721
Guam,GUM,2010,10.975168
Guam,GUM,2015,11.0185795
Guam,GUM,2019,11.025866
Lower Middle Income (WB),,1990,13.040161
Lower Middle Income (WB),,1995,13.115025
Lower Middle Income (WB),,2000,12.893292
Lower Middle Income (WB),,2005,12.904475
Lower Middle Income (WB),,2010,12.571262
Lower Middle Income (WB),,2015,12.486984
Lower Middle Income (WB),,2019,12.384954
United States,USA,1990,14.515779
United States,USA,1995,15.1322775
United States,USA,2000,16.4766
United States,USA,2005,15.998535
United States,USA,2010,15.853109
United States,USA,2015,15.193891
United States,USA,2019,15.654907
