Entity,Code,Year,Deaths - Self-harm by firearm - Sex: Both - Age: All Ages (Number)
Brazil,BRA,1990,2213
Brazil,BRA,1995,2123
Brazil,BRA,2000,2201
Brazil,BRA,2005,1785
Brazil,BRA,2010,1414
Brazil,BRA,2015,1285
Brazil,BRA,2019,1259
Germany,DEU,1990,1339
Germany,DEU,1995,1192
Germany,DEU,2000,1052
Germany,DEU,2005,986
Germany,DEU,2010,924
Germany,DEU,2015,912
Germany,DEU,2019,899
South Africa,ZAF,1990,272
South Africa,ZAF,1995,307
South Africa,ZAF,2000,481
South Africa,ZAF,2005,619
South Africa,ZAF,2010,459
South Africa,ZAF,2015,370
South Africa,ZAF,2019,397
United States,USA,1990,19318
United States,USA,1995,19615
United States,USA,2000,18446
United States,USA,2005,19218
United States,USA,2010,20903
United States,USA,2015,23307
United States,USA,2019,23365
