Entity,Code,Year,Age-standardized suicide rate - Sex: both sexes,Population,Continent,Age-standardized suicide rate - Sex: both sexes.1,Year.1
Africa,,2000,,818952374.0,,,
Africa,,2019,,1327701380.0,,,
Asia,,2000,,3735089775.0,,,
Asia,,2019,,4627738749.0,,,
Bangladesh,BGD,2000,6.87,129193336.0,,3.85,2019.0
Bangladesh,BGD,2019,3.85,165516224.0,,3.85,2019.0
Belarus,BLR,2000,37.2581,10256489.0,,16.4924,2019.0
Belarus,BLR,2019,16.4924,9673971.0,,16.4924,2019.0
Bulgaria,BGR,2000,14.0476,8097694.0,,6.5,2019.0
Bulgaria,BGR,2019,6.5,7052536.0,,6.5,2019.0
Central African Republic,CAF,2000,32.5032,3759174.0,,22.963,2019.0
Central African Republic,CAF,2019,22.963,5209329.0,,22.963,2019.0
China,CHN,2000,14.852,1264099072.0,,6.67,2019.0
China,CHN,2019,6.67,1421864064.0,,6.67,2019.0
Cote d'Ivoire,CIV,2000,23.9869,16799664.0,,15.6586,2019.0
Cote d'Ivoire,CIV,2019,15.6586,26147544.0,,15.6586,2019.0
Democratic Republic of Congo,COD,2000,14.4972,48616328.0,,12.4111,2019.0
Democratic Republic of Congo,COD,2019,12.4111,89906896.0,,12.4111,2019.0
Eswatini,SWZ,2000,40.5727,1030504.0,,40.4572,2019.0
Eswatini,SWZ,2019,40.4572,1169620.0,,40.4572,2019.0
Europe,,2000,,727917165.0,,,
Europe,,2019,,747418251.0,,,
Germany,DEU,2000,11.1552,81551680.0,,8.27,2019.0
Germany,DEU,2019,8.27,83148144.0,,8.27,2019.0
Guyana,GUY,2000,35.7503,759059.0,,40.8524,2019.0
Guyana,GUY,2019,40.8524,798761.0,,40.8524,2019.0
India,IND,2000,19.0894,1059633664.0,,12.9087,2019.0
India,IND,2019,12.9087,1383112064.0,,12.9087,2019.0
Indonesia,IDN,2000,3.79,214072416.0,,2.55,2019.0
Indonesia,IDN,2019,2.55,269582880.0,,2.55,2019.0
Japan,JPN,2000,18.0794,126803864.0,,12.2413,2019.0
Japan,JPN,2019,12.2413,125791680.0,,12.2413,2019.0
Kazakhstan,KAZ,2000,39.4256,15236256.0,,18.0523,2019.0
Kazakhstan,KAZ,2019,18.0523,18754260.0,,18.0523,2019.0
Kiribati,KIR,2000,35.6385,88840.0,,30.5625,2019.0
Kiribati,KIR,2019,30.5625,124252.0,,30.5625,2019.0
Latvia,LVA,2000,29.6331,2392536.0,,16.0631,2019.0
Latvia,LVA,2019,16.0631,1916552.0,,16.0631,2019.0
Lesotho,LSO,2000,42.604,1998632.0,,87.4824,2019.0
Lesotho,LSO,2019,87.4824,2225710.0,,87.4824,2019.0
Mozambique,MOZ,2000,20.9055,17768510.0,,23.1947,2019.0
Mozambique,MOZ,2019,23.1947,30285602.0,,23.1947,2019.0
Nigeria,NGA,2000,9.18,122851984.0,,6.87,2019.0
Nigeria,NGA,2019,6.87,203304496.0,,6.87,2019.0
North America,,2000,,486364446.0,,,
North America,,2019,,590497015.0,,,
Oceania,,2000,,31223133.0,,,
Oceania,,2019,,43278474.0,,,
Philippines,PHL,2000,2.26,77958224.0,,2.54,2019.0
Philippines,PHL,2019,2.54,110380800.0,,2.54,2019.0
Russia,RUS,2000,48.8886,146844848.0,,21.5962,2019.0
Russia,RUS,2019,21.5962,145742288.0,,21.5962,2019.0
Rwanda,RWA,2000,25.5557,8109994.0,,9.45,2019.0
Rwanda,RWA,2019,9.45,12835029.0,,9.45,2019.0
Serbia,SRB,2000,18.9131,7935023.0,,7.86,2019.0
Serbia,SRB,2019,7.86,7401056.0,,7.86,2019.0
Somalia,SOM,2000,16.7819,8721465.0,,14.6618,2019.0
Somalia,SOM,2019,14.6618,15981312.0,,14.6618,2019.0
South Africa,ZAF,2000,26.5553,46813272.0,,23.4856,2019.0
South Africa,ZAF,2019,23.4856,58087060.0,,23.4856,2019.0
South America,,2000,,349634344.0,,,
South America,,2019,,428318218.0,,,
Sri Lanka,LKA,2000,27.425,18776374.0,,12.8878,2019.0
Sri Lanka,LKA,2019,12.8878,21649664.0,,12.8878,2019.0
Suriname,SUR,2000,24.9606,479011.0,,25.8913,2019.0
Suriname,SUR,2019,25.8913,600305.0,,25.8913,2019.0
Ukraine,UKR,2000,33.4823,48879752.0,,17.7287,2019.0
Ukraine,UKR,2019,17.7287,44211100.0,,17.7287,2019.0
United States,USA,2000,10.0171,282398560.0,,14.5111,2019.0
United States,USA,2019,14.5111,334319680.0,,14.5111,2019.0
