Entity,Code,Year,Sunflower seed | 00000267 || Production | 005510 || tonnes
Brazil,BRA,1970,10000.0
Brazil,BRA,1980,23000.0
Brazil,BRA,1990,35000.0
Brazil,BRA,2000,97000.0
Brazil,BRA,2010,86608.0
Brazil,BRA,2021,64854.0
China,CHN,1961,61000.0
China,CHN,1970,70000.0
China,CHN,1980,909700.0
China,CHN,1990,1338713.0
China,CHN,2000,1954141.0
China,CHN,2010,2298000.0
China,CHN,2021,2850000.0
India,IND,1970,76000.0
India,IND,1980,66300.0
India,IND,1990,873000.0
India,IND,2000,646400.0
India,IND,2010,651000.0
India,IND,2021,228000.0
Russia,RUS,2000,3918549.0
Russia,RUS,2010,5344821.0
Russia,RUS,2021,15656329.0
United States,USA,1961,17000.0
United States,USA,1970,85785.0
United States,USA,1980,1697000.0
United States,USA,1990,1032000.0
United States,USA,2000,1607730.0
United States,USA,2010,1240830.0
United States,USA,2021,863180.0
