Entity,Code,Year,Total tax (% of GDP) (OECD (2018))
Argentina,ARG,1990,13.6755838
Argentina,ARG,1995,18.6699009
Argentina,ARG,2000,19.8008175
Argentina,ARG,2005,24.5315647
Argentina,ARG,2010,29.0670719
Argentina,ARG,2015,31.4537182
Argentina,ARG,2017,30.3322372
Bolivia,BOL,1990,8.2677507
Bolivia,BOL,1995,13.8650436
Bolivia,BOL,2000,17.6292057
Bolivia,BOL,2005,20.0664577
Bolivia,BOL,2010,20.7260189
Bolivia,BOL,2015,27.6036053
Bolivia,BOL,2017,23.9386406
Brazil,BRA,1990,25.511692
Brazil,BRA,1995,26.6381893
Brazil,BRA,2000,29.5857182
Brazil,BRA,2005,32.7628441
Brazil,BRA,2010,32.3333168
Brazil,BRA,2015,31.9150028
Brazil,BRA,2017,32.2998161
Cameroon,CMR,1995,9.9524632
Cameroon,CMR,2000,11.2890425
Cameroon,CMR,2005,11.9943476
Cameroon,CMR,2010,12.1381073
Cameroon,CMR,2015,14.6998634
Colombia,COL,1990,9.1906347
Colombia,COL,1995,13.82656
Colombia,COL,2000,14.7719307
Colombia,COL,2005,18.2393513
Colombia,COL,2010,18.0333481
Colombia,COL,2015,19.819582
Colombia,COL,2017,18.7685432
Democratic Republic of Congo,COD,2000,0.573333
Democratic Republic of Congo,COD,2005,5.184154
Democratic Republic of Congo,COD,2010,8.9080095
Democratic Republic of Congo,COD,2015,9.6621017
Indonesia,IDN,2000,7.8712459
Indonesia,IDN,2005,12.357831
Indonesia,IDN,2010,11.3558931
Indonesia,IDN,2015,12.1110697
Indonesia,IDN,2017,11.5295649
United States,USA,1990,25.9618683
United States,USA,1995,26.4654408
United States,USA,2000,28.202055
United States,USA,2005,25.9329071
United States,USA,2010,23.4942894
United States,USA,2015,26.2354317
United States,USA,2017,27.1433258
