Entity,Code,Year,Taxes including social contributions (as a share of GDP),Gini coefficient,Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,20.65614,,32353592.0,
Asia,,2019,,,4627738749.0,
Australia,AUS,2019,27.55645,,25357168.0,
Austria,AUT,2019,43.127434,0.30211553,8879939.0,
Bangladesh,BGD,2019,7.498063,,165516224.0,
Belgium,BEL,2019,44.832016,0.27219802,11510569.0,
Brazil,BRA,2019,32.536087,0.5348577,211782880.0,
Bulgaria,BGR,2019,30.154192,0.40271384,7052536.0,
Burkina Faso,BFA,2019,15.234938,,20951638.0,
Central African Republic,CAF,2019,7.7833314,,5209329.0,
Chad,TCD,2019,,,16126868.0,
Chile,CHL,2019,19.384697,,19039484.0,
China,CHN,2019,23.332006,0.38168344,1421864064.0,
Colombia,COL,2019,18.844198,0.5133497,50187404.0,
Czechia,CZE,2019,34.815918,0.25262198,10536876.0,
East Timor,TLS,2019,,,1280442.0,
El Salvador,SLV,2019,18.081545,0.38778764,6280222.0,
Estonia,EST,2019,33.74958,0.30767542,1327039.0,
Eswatini,SWZ,2019,25.19169,,1169620.0,
Europe,,2019,,,747418251.0,
Finland,FIN,2019,42.393833,0.27737328,5521539.0,
France,FRA,2019,46.884254,0.31199586,64399760.0,
Georgia,GEO,2019,24.080158,0.35900766,3770814.0,
Germany,DEU,2019,39.97999,0.31719428,83148144.0,
Ghana,GHA,2019,12.458404,,31522294.0,
Guatemala,GTM,2019,11.242561,,17106338.0,
Guinea,GIN,2019,12.848583,,12877537.0,
Honduras,HND,2019,21.745338,0.48168167,9958832.0,
India,IND,2019,16.978771,0.3502112,1383112064.0,
Indonesia,IDN,2019,9.75995,0.37610123,269582880.0,
Iran,IRN,2019,,0.4093597,86564208.0,
Ireland,IRL,2019,22.673756,0.308315,4896021.0,
Israel,ISR,2019,30.502977,,8607922.0,
Italy,ITA,2019,42.543655,0.34587252,59727936.0,
Kazakhstan,KAZ,2019,17.335749,,18754260.0,
Latvia,LVA,2019,31.39079,0.3448954,1916552.0,
Lesotho,LSO,2019,32.013786,,2225710.0,
Mali,MLI,2019,14.775763,,20567430.0,
Malta,MLT,2019,30.072945,0.3104208,503646.0,
Mauritania,MRT,2019,11.961399,,4383853.0,
Mexico,MEX,2019,13.144053,,125085312.0,
Moldova,MDA,2019,28.342497,0.26016647,3109496.0,
Montenegro,MNE,2019,37.002625,,630403.0,
Mozambique,MOZ,2019,26.94919,0.5045398,30285602.0,
Namibia,NAM,2019,30.249819,,2446648.0,
North America,,2019,,,590497015.0,
Norway,NOR,2019,39.8572,0.27742285,5348285.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,9.87295,,223293280.0,
Panama,PAN,2019,13.759621,0.49838337,4232538.0,
Paraguay,PRY,2019,10.859013,0.45650637,6530029.0,
Peru,PER,2019,14.070512,0.41562784,32824864.0,
Philippines,PHL,2019,14.488472,,110380800.0,
Poland,POL,2019,36.163116,0.30239472,38493600.0,
Portugal,PRT,2019,36.63774,0.32762748,10289921.0,
Romania,ROU,2019,26.61225,0.348042,19524212.0,
Slovenia,SVN,2019,37.329544,0.24384232,2112905.0,
South Africa,ZAF,2019,27.03328,,58087060.0,
South America,,2019,,,428318218.0,
South Korea,KOR,2019,27.234148,,51803832.0,
Sudan,SDN,2019,5.444012,,43232092.0,
Tajikistan,TJK,2019,19.93174,,9337008.0,
Tanzania,TZA,2019,11.031519,,59872584.0,
Turkey,TUR,2019,23.135723,0.41909108,83481688.0,
Ukraine,UKR,2019,32.45501,0.26619467,44211100.0,
United Kingdom,GBR,2019,34.04638,0.32825133,66778660.0,
United States,USA,2019,25.73765,0.41535568,334319680.0,
Vanuatu,VUT,2019,17.59466,0.32317576,304414.0,
Zambia,ZMB,2019,16.113216,,18380478.0,
