Entity,Code,Year,Taxes on goods and services (as a share of GDP)
Afghanistan,AFG,2005,0.55922914
Afghanistan,AFG,2010,2.561716
Afghanistan,AFG,2015,1.4355614
Afghanistan,AFG,2020,1.9776525
Austria,AUT,1980,12.063996
Austria,AUT,1985,13.186273
Austria,AUT,1990,12.183619
Austria,AUT,1995,12.082223
Austria,AUT,2000,12.505831
Austria,AUT,2005,12.145539
Austria,AUT,2010,11.905572
Austria,AUT,2015,12.131559
Austria,AUT,2020,11.6878
Germany,DEU,1980,9.631955
Germany,DEU,1985,9.150012
Germany,DEU,1990,9.171535
Germany,DEU,1995,10.135782
Germany,DEU,2000,10.4561205
Germany,DEU,2005,10.423282
Germany,DEU,2010,10.878412
Germany,DEU,2015,10.775202
Germany,DEU,2020,10.118281
India,IND,1985,8.950211
India,IND,1990,8.931064
India,IND,1995,7.8902774
India,IND,2000,8.201477
India,IND,2005,8.882053
India,IND,2010,8.06578
India,IND,2015,9.220814
Nigeria,NGA,1995,0.70837915
Nigeria,NGA,2000,1.2169224
Nigeria,NGA,2005,0.82622445
Nigeria,NGA,2010,1.014975
Nigeria,NGA,2015,0.8121647
Nigeria,NGA,2020,0.95593
Nigeria,NGA,2022,1.1991106
Venezuela,VEN,1980,0.941
Venezuela,VEN,1985,1.3652561
Venezuela,VEN,1990,0.6899956
Venezuela,VEN,1995,4.2193847
Venezuela,VEN,2000,5.273923
Venezuela,VEN,2005,7.0308595
Venezuela,VEN,2010,6.41234
Venezuela,VEN,2015,13.6019125
