Entity,Code,Year,Deaths - Tetanus - Sex: Both - Age: Under 5 (Rate)
Bangladesh,BGD,1990,134.36
Bangladesh,BGD,1995,56.15
Bangladesh,BGD,2000,24.57
Bangladesh,BGD,2005,5.96
Bangladesh,BGD,2010,1.25
Bangladesh,BGD,2015,1.44
Bangladesh,BGD,2019,1.96
Greenland,GRL,1990,0.03
Greenland,GRL,1995,0.03
Greenland,GRL,2000,0.02
Greenland,GRL,2005,0.02
Greenland,GRL,2010,0.02
Greenland,GRL,2015,0.02
Greenland,GRL,2019,0.02
Nauru,NRU,1990,0.09
Nauru,NRU,1995,0.11
Nauru,NRU,2000,0.1
Nauru,NRU,2005,0.07
Nauru,NRU,2010,0.06
Nauru,NRU,2015,0.05
Nauru,NRU,2019,0.04
