Entity,Code,Year,Deaths - Tetanus - Sex: Both - Age: Under 5 (Rate)
India,IND,1990,78.3
India,IND,1995,51.66
India,IND,2000,40.74
India,IND,2005,25.81
India,IND,2010,11.36
India,IND,2015,5.89
India,IND,2019,3.95
Madagascar,MDG,1990,28.33
Madagascar,MDG,1995,19.38
Madagascar,MDG,2000,13.57
Madagascar,MDG,2005,7.7
Madagascar,MDG,2010,7.6
Madagascar,MDG,2015,5.68
Madagascar,MDG,2019,3.85
South Sudan,SSD,1990,39.22
South Sudan,SSD,1995,38.11
South Sudan,SSD,2000,33.92
South Sudan,SSD,2005,23.81
South Sudan,SSD,2010,16.34
South Sudan,SSD,2015,11.42
South Sudan,SSD,2019,8.45
