Entity,Code,Year,Total factor productivity index (using national accounts) (2017=1)
Chile,CHL,1954,0.9175328
Chile,CHL,1960,1.0665861
Chile,CHL,1970,1.1261733
Chile,CHL,1980,0.99142367
Chile,CHL,1990,0.9126955
Chile,CHL,2000,1.0614567
Chile,CHL,2010,1.0451103
Chile,CHL,2017,1.0
Chile,CHL,2019,1.0046816
China,CHN,1960,0.7596352
China,CHN,1970,0.8468682
China,CHN,1980,0.76790005
China,CHN,1990,0.75604075
China,CHN,2000,0.77505803
China,CHN,2010,1.0196995
China,CHN,2017,1.0
China,CHN,2019,0.96681136
India,IND,1954,0.53696114
India,IND,1960,0.5792527
India,IND,1970,0.69808936
India,IND,1980,0.62102914
India,IND,1990,0.67766887
India,IND,2000,0.74858564
India,IND,2010,0.8570277
India,IND,2017,1.0
India,IND,2019,1.0201272
Mexico,MEX,1954,1.2066591
Mexico,MEX,1960,1.3194901
Mexico,MEX,1970,1.4282936
Mexico,MEX,1980,1.4199572
Mexico,MEX,1990,1.1322683
Mexico,MEX,2000,1.0987428
Mexico,MEX,2010,0.97891
Mexico,MEX,2017,1.0
Mexico,MEX,2019,0.9755593
Peru,PER,1954,1.1372939
Peru,PER,1960,1.2457746
Peru,PER,1970,1.5271488
Peru,PER,1980,1.3678375
Peru,PER,1990,0.9292485
Peru,PER,2000,0.8882995
Peru,PER,2010,1.035667
Peru,PER,2017,1.0
Peru,PER,2019,0.9960437
South Korea,KOR,1960,0.39033997
South Korea,KOR,1970,0.44998518
South Korea,KOR,1980,0.5192931
South Korea,KOR,1990,0.6950527
South Korea,KOR,2000,0.8004078
South Korea,KOR,2010,0.9650287
South Korea,KOR,2017,1.0
South Korea,KOR,2019,1.0118675
Spain,ESP,1954,0.48009682
Spain,ESP,1960,0.5582787
Spain,ESP,1970,0.8229204
Spain,ESP,1980,0.9667092
Spain,ESP,1990,1.0597904
Spain,ESP,2000,1.0414275
Spain,ESP,2010,0.9894858
Spain,ESP,2017,1.0
Spain,ESP,2019,1.002305
Taiwan,TWN,1960,0.24721666
Taiwan,TWN,1970,0.37013668
Taiwan,TWN,1980,0.47586173
Taiwan,TWN,1990,0.62332064
Taiwan,TWN,2000,0.7841779
Taiwan,TWN,2010,0.95918417
Taiwan,TWN,2017,1.0
Taiwan,TWN,2019,1.0157889
United Kingdom,GBR,1954,0.7171754
United Kingdom,GBR,1960,0.7074328
United Kingdom,GBR,1970,0.75324893
United Kingdom,GBR,1980,0.7932473
United Kingdom,GBR,1990,0.87679994
United Kingdom,GBR,2000,0.96330255
United Kingdom,GBR,2010,0.9821059
United Kingdom,GBR,2017,1.0
United Kingdom,GBR,2019,0.99524415
United States,USA,1954,0.6500968
United States,USA,1960,0.69864464
United States,USA,1970,0.7633715
United States,USA,1980,0.78602093
United States,USA,1990,0.8402588
United States,USA,2000,0.9089836
United States,USA,2010,0.9767066
United States,USA,2017,1.0
United States,USA,2019,1.0168622
