Entity,Code,Year,DALYs (Disability-Adjusted Life Years) - All causes - Sex: Both - Age: Age-standardized (Rate),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2019,55424.65,2079.9219,37769496.0,
Africa,,2019,,,1327701380.0,
Asia,,2019,,,4627738749.0,
Bahamas,BHS,2019,31350.05,35161.832,404563.0,
Bangladesh,BGD,2019,30475.26,5467.208,165516224.0,
Bolivia,BOL,2019,33595.29,8528.749,11777318.0,
Botswana,BWA,2019,56114.69,15117.995,2499705.0,
Brazil,BRA,2019,29427.39,14685.128,211782880.0,
Burundi,BDI,2019,52840.86,729.65845,11874838.0,
Central African Republic,CAF,2019,88071.47,861.7668,5209329.0,
Chad,TCD,2019,62291.51,1561.9967,16126868.0,
China,CHN,2019,22270.51,15977.764,1421864064.0,
Democratic Republic of Congo,COD,2019,50113.59,1059.8921,89906896.0,
Eswatini,SWZ,2019,67878.68,8501.267,1169620.0,
Ethiopia,ETH,2019,40990.33,2181.659,114120592.0,
Europe,,2019,,,747418251.0,
Germany,DEU,2019,20075.12,53874.316,83148144.0,
Greece,GRC,2019,20200.9,29721.586,10574026.0,
Guyana,GUY,2019,43661.13,12820.489,798761.0,
India,IND,2019,37843.33,6608.624,1383112064.0,
Indonesia,IDN,2019,33996.78,11857.789,269582880.0,
Ireland,IRL,2019,19401.42,86681.27,4896021.0,
Japan,JPN,2019,15885.71,41697.41,125791680.0,
Jordan,JOR,2019,23563.91,9551.165,10698682.0,
Kenya,KEN,2019,44993.5,4601.2114,50951452.0,
Lesotho,LSO,2019,90771.64,2533.1191,2225710.0,
Libya,LBY,2019,28096.64,22535.445,6569085.0,
Lithuania,LTU,2019,25648.26,37184.453,2849083.0,
Mauritania,MRT,2019,36603.95,5505.6465,4383853.0,
Mongolia,MNG,2019,40025.48,12458.019,3232435.0,
Mozambique,MOZ,2019,67259.91,1285.1848,30285602.0,
Namibia,NAM,2019,48465.54,10009.578,2446648.0,
Nicaragua,NIC,2019,27092.01,5348.9873,6663919.0,
Niger,NER,2019,56580.16,1217.446,23443400.0,
Nigeria,NGA,2019,53229.6,5076.368,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,48022.12,5157.5464,223293280.0,
Palau,PLW,2019,41793.18,17605.48,17939.0,
Peru,PER,2019,22589.26,12735.168,32824864.0,
Russia,RUS,2019,31110.39,27254.574,145742288.0,
Senegal,SEN,2019,41707.5,3430.484,16000783.0,
Singapore,SGP,2019,15045.11,98283.31,5866408.0,
Solomon Islands,SLB,2019,64678.32,2616.863,675000.0,
South Africa,ZAF,2019,49954.28,13852.206,58087060.0,
South America,,2019,,,428318218.0,
Sudan,SDN,2019,37737.96,4133.1304,43232092.0,
Suriname,SUR,2019,33977.36,18449.2,600305.0,
Tanzania,TZA,2019,44863.07,2577.6658,59872584.0,
Turkey,TUR,2019,23763.44,28150.059,83481688.0,
United States,USA,2019,26061.04,62478.254,334319680.0,
Vietnam,VNM,2019,27542.64,10252.005,95776712.0,
Zambia,ZMB,2019,53934.56,3372.359,18380478.0,
Zimbabwe,ZWE,2019,58969.11,2203.3967,15354606.0,
