Entity,Code,Year,Poorest decile - Threshold,Mean income or consumption,Population,Continent
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,,,32353592.0,
Asia,,2019,,,4627738749.0,
Belarus,BLR,2019,10.002091,19.132462,9673971.0,
Bolivia,BOL,2019,5.3281493,19.607672,11777318.0,
Botswana,BWA,2019,,,2499705.0,
Brazil,BRA,2019,3.4222765,21.11513,211782880.0,
Cameroon,CMR,2019,,,25782342.0,
Chile,CHL,2019,,,19039484.0,
China,CHN,2019,4.84,14.174434,1421864064.0,
Colombia,COL,2019,3.035972,15.542431,50187404.0,
Cyprus,CYP,2019,22.99984,51.574562,1228840.0,
Czechia,CZE,2019,21.06594,39.36649,10536876.0,
East Timor,TLS,2019,,,1280442.0,
Estonia,EST,2019,17.85016,41.006695,1327039.0,
Europe,,2019,,,747418251.0,
Fiji,FJI,2019,3.3672152,7.907095,918472.0,
Guatemala,GTM,2019,,,17106338.0,
Hungary,HUN,2019,13.261575,28.268663,9771799.0,
India,IND,2019,2.0,4.9689527,1383112064.0,
Indonesia,IDN,2019,2.64,7.3372326,269582880.0,
Iran,IRN,2019,4.4896746,14.452303,86564208.0,
Italy,ITA,2019,17.259033,49.89793,59727936.0,
Kosovo,OWID_KOS,2019,,,1686856.0,
Malawi,MWI,2019,0.7415027,2.0693629,18867340.0,
Malaysia,MYS,2019,,,32804024.0,
Maldives,MDV,2019,8.475818,18.690468,504518.0,
Mexico,MEX,2019,,,125085312.0,
Mozambique,MOZ,2019,0.5020316,2.102978,30285602.0,
Nicaragua,NIC,2019,,,6663919.0,
Niger,NER,2019,,,23443400.0,
Nigeria,NGA,2019,,,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Panama,PAN,2019,5.978229,33.49605,4232538.0,
Portugal,PRT,2019,13.900171,35.261925,10289921.0,
Russia,RUS,2019,8.71011,23.716806,145742288.0,
Senegal,SEN,2019,,,16000783.0,
South Africa,ZAF,2019,,,58087060.0,
South America,,2019,,,428318218.0,
Sri Lanka,LKA,2019,3.5099654,9.24845,21649664.0,
Sudan,SDN,2019,,,43232092.0,
Switzerland,CHE,2019,,,8575593.0,
Togo,TGO,2019,,,8243093.0,
Turkey,TUR,2019,6.135094,22.202902,83481688.0,
Uganda,UGA,2019,1.1126479,3.5151083,42949076.0,
Ukraine,UKR,2019,7.5533957,14.921345,44211100.0,
United States,USA,2019,23.742329,85.874725,334319680.0,
Zambia,ZMB,2019,,,18380478.0,
