Entity,Code,Year,GDP,417484-annotations,GDP per capita,417485-annotations,Continent
Eswatini,SWZ,1950,167539940.0,,604.0,,
Eswatini,SWZ,2011,7567466500.0,,7389.0,,
Eswatini,SWZ,2018,8771760000.0,,8068.212,,
Ethiopia,ETH,1950,12816445000.0,,622.0,,
Ethiopia,ETH,2011,104948620000.0,,1199.0,,
Ethiopia,ETH,2018,195740320000.0,,1838.4904,,
Gabon,GAB,1950,1229838800.0,,2958.0,,
Gabon,GAB,2011,27165934000.0,,16403.0,,
Gabon,GAB,2018,36693262000.0,,17613.557,,
Guinea,GIN,1950,1344464600.0,,520.0,,
Guinea,GIN,2011,13233699000.0,,1347.0,,
Guinea,GIN,2018,19045323000.0,,1606.4666,,
Oman,OMN,1950,485167870.0,,993.0,,
Oman,OMN,2011,141399490000.0,,44454.0,,
Oman,OMN,2018,172358220000.0,,36477.637,,
Panama,PAN,1906,680524000.0,,2276.0,,
Panama,PAN,1950,2301261000.0,,2577.0,,
Panama,PAN,2011,57996520000.0,,16762.0,,
Panama,PAN,2018,86035740000.0,,22637.148,,
Senegal,SEN,1950,5325849600.0,,2007.0,,
Senegal,SEN,2011,29228466000.0,,2123.0,,
Senegal,SEN,2018,42805547000.0,,2617.1245,,
