Entity,Code,Year,GDP,417484-annotations,GDP per capita,417485-annotations,Continent
China,CHN,1820,336042000000.0,,882.0,,
China,CHN,2011,13673158000000.0,,10221.0,,
China,CHN,2018,18151620000000.0,,13101.706,,
France,FRA,1820,56531250000.0,,1809.0,,
France,FRA,2011,2391848300000.0,,36691.0,,
France,FRA,2018,2581673800000.0,,38515.918,,
Italy,ITA,1820,53770530000.0,,2665.0737,,
Italy,ITA,2011,2088117200000.0,,35151.0,,
Italy,ITA,2018,2077209100000.0,,34364.168,,
Japan,JPN,1820,40827000000.0,,1317.0,,
Japan,JPN,2011,4456991000000.0,,34979.0,,
Japan,JPN,2018,4867010600000.0,,38673.81,,
Spain,ESP,1820,19524800000.0,,1600.0,,
Spain,ESP,2011,1495441600000.0,,31600.0,,
Spain,ESP,2018,1492300200000.0,,31496.52,,
United Kingdom,GBR,1820,70216130000.0,,3306.0,,
United Kingdom,GBR,2011,2221719200000.0,,34971.0,,
United Kingdom,GBR,2018,2540210200000.0,,38058.086,,
United States,USA,1820,26689673000.0,,2674.048,,
United States,USA,2011,15509302000000.0,,49675.0,,
United States,USA,2018,18140646000000.0,,55334.74,,
