Entity,Code,Year,Historical and more recent expenditure estimates
Belarus,BLR,2000,6.19662
Congo,COG,1980,6.35924
Congo,COG,2022,2.9515922
France,FRA,1870,0.3
France,FRA,1960,2.4
France,FRA,1980,4.30769
France,FRA,2000,5.6002192
Israel,ISR,2000,5.95195
Malawi,MWI,2000,3.60613
Norway,NOR,1870,0.5
Norway,NOR,1960,4.2
Norway,NOR,1980,5.78015
Norway,NOR,2000,6.45934
Spain,ESP,1960,1.3
Spain,ESP,1980,2.6
Spain,ESP,2000,4.16605
United Kingdom,GBR,1870,0.1
United Kingdom,GBR,1960,4.3
United Kingdom,GBR,1980,5.07012
United Kingdom,GBR,2000,4.01475
United States,USA,1960,4.0
United States,USA,2000,6.0856495
