Entity,Code,Year,"9.a.1 - Total official flows for infrastructure, by recipient countries (millions of constant 2021 United States dollars) - DC_TOF_INFRAL"
Africa (UN),,2000,4607960000.0
Africa (UN),,2005,4453130000.0
Africa (UN),,2010,10276180000.0
Africa (UN),,2015,14025950000.0
Africa (UN),,2021,14762470000.0
Asia (UN),,2000,14236080000.0
Asia (UN),,2005,10688260000.0
Asia (UN),,2010,24023850000.0
Asia (UN),,2015,32987370000.000004
Asia (UN),,2021,29301380000.0
Europe (UN),,2000,894650000.0
Europe (UN),,2005,802940000.0
Europe (UN),,2010,3469700000.0
Europe (UN),,2015,3461430000.0
Europe (UN),,2021,3413290000.0
Latin America and the Caribbean (UN),,2000,3632270000.0
Latin America and the Caribbean (UN),,2005,1610080000.0
Latin America and the Caribbean (UN),,2010,7376090000.0
Latin America and the Caribbean (UN),,2015,9237070000.0
Latin America and the Caribbean (UN),,2021,8689450000.0
Oceania (UN),,2000,283020000.0
Oceania (UN),,2005,149020000.0
Oceania (UN),,2010,261110000.0
Oceania (UN),,2015,754160000.0
Oceania (UN),,2021,920150000.0
