Entity,Code,Year,"6.a.1 - Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars) - DC_TOF_WASHL"
China,CHN,2000,591780000.0
China,CHN,2005,423800000.0
China,CHN,2010,294590000.0
China,CHN,2015,216330000.0
China,CHN,2021,63220000.0
Marshall Islands,MHL,2005,10000.0
Marshall Islands,MHL,2010,180000.0
Marshall Islands,MHL,2015,1120000.0
Marshall Islands,MHL,2021,1070000.0
Saint Lucia,LCA,2000,450000.0
Saint Lucia,LCA,2005,670000.0
Saint Lucia,LCA,2010,70000.0
Saint Lucia,LCA,2015,310000.0
Saint Lucia,LCA,2021,410000.0
Senegal,SEN,2000,27790000.0
Senegal,SEN,2005,68740000.0
Senegal,SEN,2010,69890000.0
Senegal,SEN,2015,126920000.0
Senegal,SEN,2021,83240000.0
