Entity,Code,Year,17.13.1 - Total reserves in months of imports (ratio) - FI_RES_TOTL_MO
China,CHN,1990,8.5
China,CHN,2000,10.94
China,CHN,2010,21.83
China,CHN,2021,11.66
India,IND,1980,8.26
India,IND,1990,2.04
India,IND,2000,6.12
India,IND,2010,7.76
India,IND,2021,9.84
Russia,RUS,2000,4.74
Russia,RUS,2010,14.16
Russia,RUS,2021,15.03
United States,USA,1970,3.07
United States,USA,1980,6.16
United States,USA,1990,2.74
United States,USA,2000,0.85
United States,USA,2010,2.0
United States,USA,2021,1.99
