Entity,Code,Year,Tourism GDP as a proportion of Total
Australia and New Zealand,,2008,3.2181852
Australia and New Zealand,,2010,2.959768
Australia and New Zealand,,2012,2.9282334
Australia and New Zealand,,2014,3.241639
Australia and New Zealand,,2016,3.4976134
Australia and New Zealand,,2018,3.4480126
Australia and New Zealand,,2020,1.8638124
Australia and New Zealand,,2021,1.7705777
El Salvador,SLV,2014,2.9578712
El Salvador,SLV,2016,3.2359302
El Salvador,SLV,2018,3.516774
Guinea,GIN,2012,1.6424439
Guinea,GIN,2014,1.2426823
Guinea,GIN,2016,1.0047574
Lithuania,LTU,2010,2.732644
Lithuania,LTU,2012,2.9460752
Lithuania,LTU,2014,3.055213
Lithuania,LTU,2016,3.0254006
Lithuania,LTU,2018,2.9483683
Lithuania,LTU,2020,1.6683943
Oman,OMN,2008,2.3460746
Oman,OMN,2010,2.415616
Oman,OMN,2012,2.1600862
Oman,OMN,2014,2.2672434
Oman,OMN,2016,2.7442863
Oman,OMN,2018,2.6623282
Oman,OMN,2020,2.576557
Oman,OMN,2021,2.4365675
Philippines,PHL,2008,5.7091746
Philippines,PHL,2010,6.2439795
Philippines,PHL,2012,7.7018456
Philippines,PHL,2014,8.853119
Philippines,PHL,2016,10.4109
Philippines,PHL,2018,12.258074
Philippines,PHL,2020,5.1092815
Philippines,PHL,2021,5.15852
