Entity,Code,Year,Trade (% of GDP)
China,CHN,1960,8.734099
China,CHN,1970,4.952406
China,CHN,1980,12.424849
China,CHN,1990,22.199472
China,CHN,2000,39.411015
China,CHN,2010,50.71708
China,CHN,2021,37.46896
India,IND,1960,11.296833
India,IND,1970,7.6617694
India,IND,1980,15.384577
India,IND,1990,15.506262
India,IND,2000,26.900923
India,IND,2010,49.255207
India,IND,2021,45.290264
United States,USA,1970,10.7582855
United States,USA,1980,20.109844
United States,USA,1990,19.81505
United States,USA,2000,25.102995
United States,USA,2010,28.219894
United States,USA,2021,25.4814
World,OWID_WRL,1970,24.994806
World,OWID_WRL,1980,37.13153
World,OWID_WRL,1990,37.605427
World,OWID_WRL,2000,50.70245
World,OWID_WRL,2010,56.886562
World,OWID_WRL,2021,56.544907
