Entity,Code,Year,Trust doctors and nurses in this country,Share - Question: q25 - Vaccines are safe - Answer: Disagree - Gender: all - Age group: all,Population (historical estimates),Continent
Africa,,2020,,,1360677453.0,
Asia,,2020,,,4663086623.0,
Bangladesh,BGD,2020,88.1,,167420944.0,
Belgium,BEL,2020,98.1,,11561716.0,
Bolivia,BOL,2020,67.3,,11936169.0,
Brazil,BRA,2020,77.8,,213196304.0,
Burkina Faso,BFA,2020,74.8,,21522632.0,
Cameroon,CMR,2020,43.9,,26491090.0,
China,CHN,2020,83.9,,1424929792.0,
Cote d'Ivoire,CIV,2020,54.8,,26811792.0,
Ecuador,ECU,2020,66.2,,17588596.0,
Egypt,EGY,2020,82.1,,107465128.0,
El Salvador,SLV,2020,78.8,,6292734.0,
Europe,,2020,,,747462669.0,
France,FRA,2020,96.9,,64480052.0,
Gabon,GAB,2020,50.7,,2292583.0,
Guinea,GIN,2020,57.8,,13205157.0,
India,IND,2020,78.9,,1396387072.0,
Indonesia,IDN,2020,72.1,,271857984.0,
Italy,ITA,2020,89.5,,59500576.0,
Japan,JPN,2020,94.9,,125244760.0,
Latvia,LVA,2020,87.2,,1897057.0,
Mali,MLI,2020,66.8,,21224042.0,
Mauritius,MUS,2020,73.8,,1297830.0,
Mexico,MEX,2020,85.1,,125998296.0,
Moldova,MDA,2020,61.9,,3084848.0,
Nigeria,NGA,2020,61.0,,208327408.0,
North America,,2020,,,594263186.0,
Norway,NOR,2020,98.7,,5379836.0,
Oceania,,2020,,,43933757.0,
Peru,PER,2020,70.4,,33304768.0,
Portugal,PRT,2020,89.7,,10298186.0,
Romania,ROU,2020,74.4,,19442040.0,
Russia,RUS,2020,67.7,,145617328.0,
Saudi Arabia,SAU,2020,74.9,,35997108.0,
Senegal,SEN,2020,80.9,,16436120.0,
South Africa,ZAF,2020,82.8,,58801928.0,
South America,,2020,,,431530105.0,
South Korea,KOR,2020,91.3,,51844688.0,
Taiwan,TWN,2020,94.3,,23821468.0,
Thailand,THA,2020,93.6,,71475664.0,
Uganda,UGA,2020,74.9,,44404608.0,
Ukraine,UKR,2020,62.9,,43909664.0,
United States,USA,2020,93.3,,335942016.0,
Zambia,ZMB,2020,70.0,,18927716.0,
Zimbabwe,ZWE,2020,81.8,,15669663.0,
