Entity,Code,Year,"Unemployment, female (% of female labor force) (modeled ILO estimate)"
Cuba,CUB,1991,12.483
Cuba,CUB,1995,13.432
Cuba,CUB,2000,8.359
Cuba,CUB,2005,2.207
Cuba,CUB,2010,2.709
Cuba,CUB,2015,2.584
Cuba,CUB,2021,2.991
Lower-middle-income countries,,1991,4.9664493
Lower-middle-income countries,,1995,5.578268
Lower-middle-income countries,,2000,6.012074
Lower-middle-income countries,,2005,6.198995
Lower-middle-income countries,,2010,5.543796
Lower-middle-income countries,,2015,5.636763
Lower-middle-income countries,,2021,5.8972344
Macao,MAC,1991,3.757
Macao,MAC,1995,2.959
Macao,MAC,2000,4.681
Macao,MAC,2005,3.843
Macao,MAC,2010,2.081
Macao,MAC,2015,1.601
Macao,MAC,2021,2.579
Nepal,NPL,1991,1.721
Nepal,NPL,1995,1.643
Nepal,NPL,2000,1.637
Nepal,NPL,2005,1.24
Nepal,NPL,2010,1.573
Nepal,NPL,2015,2.879
Nepal,NPL,2021,4.934
Sao Tome and Principe,STP,1991,17.553
Sao Tome and Principe,STP,1995,17.67
Sao Tome and Principe,STP,2000,17.837
Sao Tome and Principe,STP,2005,25.863
Sao Tome and Principe,STP,2010,22.202
Sao Tome and Principe,STP,2015,20.422
Sao Tome and Principe,STP,2021,22.936
Singapore,SGP,1991,2.186
Singapore,SGP,1995,3.449
Singapore,SGP,2000,3.457
Singapore,SGP,2005,6.052
Singapore,SGP,2010,4.42
Singapore,SGP,2015,3.978
Singapore,SGP,2021,3.97
