Entity,Code,Year,DTP3 (% of one-year-olds immunized),"GDP per capita (output, multiple price benchmarks)",Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Algeria,DZA,2019,91.0,11787.492,42705372.0,
Angola,AGO,2019,57.0,7159.579,32353592.0,
Asia,,2019,,,4627738749.0,
Austria,AUT,2019,85.0,53344.508,8879939.0,
Benin,BEN,2019,76.0,3245.0645,12290443.0,
Brazil,BRA,2019,70.0,14593.961,211782880.0,
Burundi,BDI,2019,93.0,790.046,11874838.0,
Cameroon,CMR,2019,67.0,3651.4968,25782342.0,
Central African Republic,CAF,2019,42.0,978.34937,5209329.0,
Chad,TCD,2019,50.0,1615.0825,16126868.0,
Chile,CHL,2019,96.0,23252.557,19039484.0,
China,CHN,2019,99.0,14128.812,1421864064.0,
Cote d'Ivoire,CIV,2019,81.0,5035.349,26147544.0,
Democratic Republic of Congo,COD,2019,73.0,1021.6937,89906896.0,
Equatorial Guinea,GNQ,2019,53.0,24712.76,1553037.0,
Ethiopia,ETH,2019,68.0,2720.7412,114120592.0,
Europe,,2019,,,747418251.0,
Germany,DEU,2019,91.0,51190.89,83148144.0,
Guatemala,GTM,2019,85.0,7769.828,17106338.0,
Guinea,GIN,2019,47.0,2286.8052,12877537.0,
Guinea-Bissau,GNB,2019,78.0,1850.2985,1970460.0,
India,IND,2019,91.0,6711.385,1383112064.0,
Indonesia,IDN,2019,85.0,11595.102,269582880.0,
Jamaica,JAM,2019,96.0,8434.522,2813776.0,
Japan,JPN,2019,98.0,39704.234,125791680.0,
Laos,LAO,2019,80.0,7585.5537,7212058.0,
Lithuania,LTU,2019,92.0,32483.44,2849083.0,
Madagascar,MDG,2019,68.0,1539.063,27533134.0,
Malawi,MWI,2019,95.0,1161.3806,18867340.0,
Mexico,MEX,2019,82.0,18736.527,125085312.0,
Mozambique,MOZ,2019,88.0,1228.8705,30285602.0,
Myanmar,MMR,2019,90.0,5153.375,53040212.0,
Nepal,NPL,2019,93.0,3631.0178,28832500.0,
Niger,NER,2019,81.0,1210.8782,23443400.0,
Nigeria,NGA,2019,56.0,4983.6753,203304496.0,
North America,,2019,,,590497015.0,
North Macedonia,MKD,2019,92.0,15779.604,2114175.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,84.0,5026.2085,223293280.0,
Philippines,PHL,2019,71.0,8448.533,110380800.0,
Romania,ROU,2019,88.0,27888.36,19524212.0,
Russia,RUS,2019,97.0,28526.293,145742288.0,
Rwanda,RWA,2019,98.0,2279.5068,12835029.0,
South America,,2019,,,428318218.0,
Tajikistan,TJK,2019,97.0,3893.754,9337008.0,
Tanzania,TZA,2019,89.0,2358.761,59872584.0,
Togo,TGO,2019,84.0,2235.2266,8243093.0,
Uganda,UGA,2019,93.0,2092.1492,42949076.0,
Ukraine,UKR,2019,80.0,13144.867,44211100.0,
United States,USA,2019,94.0,62589.0,334319680.0,
Vietnam,VNM,2019,89.0,7506.817,95776712.0,
