Entity,Code,Year,Fertility rate - Sex: all - Age: all - Variant: estimates,"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)",Population (historical estimates),Continent
Africa,,2020,,,1360677453.0,
Albania,ALB,2020,1.3996,,2866850.0,
Angola,AGO,2020,5.3711,,33428490.0,
Armenia,ARM,2020,1.575,,2805610.0,
Asia,,2020,,,4663086623.0,
Bangladesh,BGD,2020,2.0026,,167420944.0,
Burkina Faso,BFA,2020,4.8693,,21522632.0,
Burundi,BDI,2020,5.1766,,12220229.0,
Cambodia,KHM,2020,2.3814,,16396864.0,
Cameroon,CMR,2020,4.5432,,26491090.0,
Chad,TCD,2020,6.3464,,16644707.0,
Colombia,COL,2020,1.7369,,50930656.0,
Comoros,COM,2020,4.0522,,806168.0,
Cote d'Ivoire,CIV,2020,4.4718,,26811792.0,
Democratic Republic of Congo,COD,2020,6.2057,,92853168.0,
East Timor,TLS,2020,3.2471,,1299998.0,
Egypt,EGY,2020,2.9602,,107465128.0,
Ethiopia,ETH,2020,4.2429,,117190920.0,
Europe,,2020,,,747462669.0,
Ghana,GHA,2020,3.6232,,32180402.0,
Guatemala,GTM,2020,2.4836,,17362716.0,
Guinea,GIN,2020,4.4889,,13205157.0,
Haiti,HTI,2020,2.8693,,11306804.0,
Honduras,HND,2020,2.3945,,10121762.0,
India,IND,2020,2.0514,,1396387072.0,
Indonesia,IDN,2020,2.194,,271857984.0,
Kenya,KEN,2020,3.3969,,51985780.0,
Kyrgyzstan,KGZ,2020,3.0411,,6424880.0,
Lesotho,LSO,2020,3.0486,,2254104.0,
Liberia,LBR,2020,4.1736,69.0,5087591.0,
Malawi,MWI,2020,3.9947,,19377058.0,
Mali,MLI,2020,6.0347,,21224042.0,
Mozambique,MOZ,2020,4.7133,,31178242.0,
Nepal,NPL,2020,2.0548,,29348626.0,
Niger,NER,2020,6.8924,,24333644.0,
Nigeria,NGA,2020,5.3095,,208327408.0,
North America,,2020,,,594263186.0,
Oceania,,2020,,,43933757.0,
Pakistan,PAK,2020,3.5548,,227196736.0,
Philippines,PHL,2020,2.7774,,112190984.0,
Senegal,SEN,2020,4.4542,,16436120.0,
Sierra Leone,SLE,2020,4.0805,,8233973.0,
South Africa,ZAF,2020,2.4008,,58801928.0,
South America,,2020,,,431530105.0,
Tajikistan,TJK,2020,3.2367,,9543211.0,
Tanzania,TZA,2020,4.7948,,61704520.0,
Uganda,UGA,2020,4.693,,44404608.0,
Zambia,ZMB,2020,4.3789,,18927716.0,
Zimbabwe,ZWE,2020,3.5451,,15669663.0,
