Entity,Code,Year,WEO Index overall score (Economist Intelligence Unit (2012))
Albania,ALB,2012,56.4739
Algeria,DZA,2012,39.656799
Americas,,2012,58.200001
Austria,AUT,2012,76.291801
Azerbaijan,AZE,2012,46.831799
Botswana,BWA,2012,49.926498
Brazil,BRA,2012,59.543999
Bulgaria,BGR,2012,73.450203
Chile,CHL,2012,64.243202
East Asia & Pacific,,2012,44.299999
Ecuador,ECU,2012,51.230999
Europe & Central Asia,,2012,56.299999
France,FRA,2012,79.498001
Iceland,ISL,2012,83.024597
Ireland,IRL,2012,74.561501
Moldova,MDA,2012,54.4631
Nicaragua,NIC,2012,47.822899
Papua New Guinea,PNG,2012,26.641899
Serbia,SRB,2012,56.375099
Slovenia,SVN,2012,76.178802
Sri Lanka,LKA,2012,47.564701
Sub-Saharan Africa,,2012,40.299999
Syria,SYR,2012,35.8606
Uganda,UGA,2012,40.410198
Upper-middle income,,2012,59.299999
Uzbekistan,UZB,2012,44.025101
