Entity,Code,Year,Life expectancy - Sex: female - Age: at birth - Variant: estimates
Bangladesh,BGD,1950,38.1
Bangladesh,BGD,1960,44.3
Bangladesh,BGD,1970,40.7
Bangladesh,BGD,1980,50.8
Bangladesh,BGD,1990,54.8
Bangladesh,BGD,2000,66.1
Bangladesh,BGD,2010,70.3
Bangladesh,BGD,2021,74.3
Benin,BEN,1950,35.6
Benin,BEN,1960,39.0
Benin,BEN,1970,43.2
Benin,BEN,1980,50.2
Benin,BEN,1990,56.0
Benin,BEN,2000,58.4
Benin,BEN,2010,59.7
Benin,BEN,2021,61.4
Cape Verde,CPV,1950,49.0
Cape Verde,CPV,1960,51.5
Cape Verde,CPV,1970,55.1
Cape Verde,CPV,1980,61.7
Cape Verde,CPV,1990,66.6
Cape Verde,CPV,2000,71.7
Cape Verde,CPV,2010,78.1
Cape Verde,CPV,2021,78.5
Georgia,GEO,1950,62.1
Georgia,GEO,1960,65.2
Georgia,GEO,1970,68.5
Georgia,GEO,1980,70.6
Georgia,GEO,1990,72.7
Georgia,GEO,2000,73.6
Georgia,GEO,2010,76.6
Georgia,GEO,2021,76.7
Low-income countries,,1950,35.1
Low-income countries,,1960,42.0
Low-income countries,,1970,45.2
Low-income countries,,1980,48.6
Low-income countries,,1990,50.8
Low-income countries,,2000,54.2
Low-income countries,,2010,61.1
Low-income countries,,2021,65.0
Niue,NIU,1950,55.6
Niue,NIU,1960,61.2
Niue,NIU,1970,69.1
Niue,NIU,1980,73.1
Niue,NIU,1990,71.4
Niue,NIU,2000,70.9
Niue,NIU,2010,70.5
Niue,NIU,2021,72.6
Saint Helena,SHN,1950,67.5
Saint Helena,SHN,1960,70.0
Saint Helena,SHN,1970,70.9
Saint Helena,SHN,1980,72.3
Saint Helena,SHN,1990,74.1
Saint Helena,SHN,2000,78.5
Saint Helena,SHN,2010,80.3
Saint Helena,SHN,2021,80.4
Tuvalu,TUV,1950,35.9
Tuvalu,TUV,1960,46.6
Tuvalu,TUV,1970,56.4
Tuvalu,TUV,1980,63.4
Tuvalu,TUV,1990,64.4
Tuvalu,TUV,2000,65.6
Tuvalu,TUV,2010,67.7
Tuvalu,TUV,2021,69.1
Upper-middle-income countries,,1950,48.4
Upper-middle-income countries,,1960,43.2
Upper-middle-income countries,,1970,60.7
Upper-middle-income countries,,1980,67.2
Upper-middle-income countries,,1990,70.8
Upper-middle-income countries,,2000,73.5
Upper-middle-income countries,,2010,77.0
Upper-middle-income countries,,2021,78.5
Zimbabwe,ZWE,1950,51.8
Zimbabwe,ZWE,1960,55.2
Zimbabwe,ZWE,1970,58.8
Zimbabwe,ZWE,1980,60.8
Zimbabwe,ZWE,1990,62.5
Zimbabwe,ZWE,2000,46.5
Zimbabwe,ZWE,2010,52.2
Zimbabwe,ZWE,2021,62.0
