Entity,Code,Year,Years of schooling,814481-annotations
Central African Republic,CAF,1870,0.1,
Central African Republic,CAF,1880,0.1,
Central African Republic,CAF,1900,0.1,
Central African Republic,CAF,1960,0.5016139,
Central African Republic,CAF,1980,1.4170121,
Central African Republic,CAF,2000,2.7183843,
Central African Republic,CAF,2020,4.334,
Guinea,GIN,1870,0.1,
Guinea,GIN,1880,0.1,
Guinea,GIN,1900,0.1,
Guinea,GIN,1960,0.20662083,
Guinea,GIN,1980,1.2960094,
Guinea,GIN,2000,2.3094723,
Guinea,GIN,2020,2.202126,
Guinea-Bissau,GNB,1870,0.1,
Guinea-Bissau,GNB,1880,0.1,
Guinea-Bissau,GNB,1900,0.1,
Guinea-Bissau,GNB,1960,0.14198077,
Guinea-Bissau,GNB,1980,0.8905608,
Guinea-Bissau,GNB,2000,1.5869681,
Guinea-Bissau,GNB,2020,3.583719,
Iceland,ISL,1960,5.79,
Iceland,ISL,1980,8.231312,
Iceland,ISL,2000,10.601316,
Iceland,ISL,2020,13.76717,
Kazakhstan,KAZ,1980,8.726377,
Kazakhstan,KAZ,2000,10.944831,
Kazakhstan,KAZ,2020,12.347562,
Saint Lucia,LCA,1960,3.778716,
Saint Lucia,LCA,1980,4.85421,
Saint Lucia,LCA,2000,7.5544815,
Saint Lucia,LCA,2020,8.54504,
Tajikistan,TJK,1980,8.548757,
Tajikistan,TJK,2000,9.523946,
Tajikistan,TJK,2020,11.333394,
Turkey,TUR,1870,0.26,
Turkey,TUR,1880,0.33,
Turkey,TUR,1900,0.47,
Turkey,TUR,1960,2.17,
Turkey,TUR,1980,4.23,
Turkey,TUR,2000,6.3,
Turkey,TUR,2020,8.63314,
Ukraine,UKR,1980,8.423159,
Ukraine,UKR,2000,10.878282,
Ukraine,UKR,2020,11.13142,
